project_name,github_link,readme_documentation_score,commit_activity_score,dfx_json_score,total_score,readme_documentation_comments,commit_activity_comments,dfx_json_comments
KaizenOrg/kaisen,https://github.com/KaizenOrg/kaisen,4,2,1,7,"The documentation quality is good, but it can be more detailed and comprehensive. The README file provides a general overview of the Kaisen platform, including its features, technologies used, and architecture. However, it lacks setup instructions for local development, which is an important element for developers to get started with the project. Additionally, the documentation could benefit from more detailed instructions on how to deploy the project to ICP (Mainnet) and integrate it with other systems. The contribution guidelines are also not explicitly stated.","2 - Commits every other week. Weekly development summary: Week of 2025-08-01: This week, the development team added new features such as the community card, continueCard, postcard skeletons, modal component system, and reorganized the ""Header"" component. Existing features were refined, including configuration settings, CSS variables, and error handling, while components were refactored for better authentication and readability. The changes lay the foundation for new functionality and improve the overall user experience, stability, and maintainability of the application.; Week of 2025-08-08: This week, significant enhancements were made to the application, introducing new features such as a simple tutoring system, chatbox, simulation, and interactive particle background. Existing features were also improved, including the editor, tutorial, and profile pages, with added functionality like basic tours, route-aware navigation, and toast notifications. Overall, the changes aim to improve the user experience with new visual elements, a more comprehensive profile page, and enhanced interaction and presentation, ultimately providing a more streamlined and guided user journey.; Week of 2025-08-15: This week, the development team introduced new features such as NFT minting and visualization, a tutorial feature, and progressive track functionality, enhancing the user experience and providing a clearer understanding of the application's architecture. Existing features were refined, including the edit track feature, and improvements were made to routing and modal components. Overall, these changes aim to provide a more comprehensive and guided experience for users, with a focus on usability and documentation.; Week of 2025-08-22: This week, improvements were made to the documentation of high-fidelity prototypes, including the addition of new content and images. The development content of the second version of the application was also added, along with new images showing the application's features. Additionally, modifications were made to the ""WAD"" document, which provides an overview of the project's development.",dfx.json file found - indicates ICP/Dfinity project structure
Brunocmarino/hackathon-ICPHubBR,https://github.com/Brunocmarino/hackathon-ICPHubBR,4,0,1,5,"The documentation provides a good overview of the project's purpose, technologies used, and main features. The README file is well-structured and easy to follow. However, it could be more detailed in some areas. For example, the setup instructions for local development are provided, but the installation process is not fully described. Additionally, the integration guide is missing, which might be a significant issue for users who want to integrate the project with other systems. The contribution guidelines are also absent, which could make it difficult for new contributors to get started.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
brun0sk/Exercicio4,https://github.com/brun0sk/Exercicio4,4,0,1,5,"This README file provides a good overview of the project and its main features, including setup instructions for local development and some integration guidance. The file is well-structured and easy to follow, with clear headings and concise descriptions. The links to additional documentation are also helpful.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
InteliThreeGroup/Beneficios,https://github.com/InteliThreeGroup/Beneficios,3,2,1,6,"The README file provides a good general project description, highlighting the key features and benefits of BeneChain. It also includes a section on what's new, which is helpful in providing an overview of the project's evolution. However, there are some significant gaps in the documentation. There are no setup instructions for local development, which would be crucial for developers who want to contribute to the project. Additionally, there is no integration guide or contribution guidelines provided. The documentation is also quite technical and may be overwhelming for non-technical readers. Overall, while the README file provides some useful information, it falls short of being comprehensive and user-friendly.","2 - Commits every other week. Weekly development summary: Week of 2025-08-15: This week, the development team refactored the frontend design, adding Tailwind classes, and restructured folder structures. These changes aim to improve the overall design and organization of the codebase.; Week of 2025-08-22: This week, the development team added a new feature ""flow"" and improved the documentation by adding challenge and technique docs, enhancing the user experience and providing better support for users. Additionally, a new feature for supporting translation in English was added, further improving the overall user experience. These updates aim to enhance the usability and accessibility of the application.",dfx.json file found - indicates ICP/Dfinity project structure
https://github.com/peer2agent,https://github.com/peer2agent,0,0,0,0,Error during evaluation: list index out of range,Error during evaluation: list index out of range,Error during evaluation: list index out of range
BlockChainTechBrazil/PetID-ICP,https://github.com/BlockChainTechBrazil/PetID-ICP,3,2,1,6,"The README file provides a good introduction to the PetID project, including a logo, table of contents, and an overview of the project architecture. However, it lacks some essential information, making it a fair documentation.","2 - Commits every other week. Weekly development summary: Week of 2025-08-08: This week, new features were added to the project, including canister creation, multilanguage support, and a frontend prototype. Additionally, the favicon and logo were updated. These changes aim to enhance the overall user experience and provide a solid foundation for future development.; Week of 2025-08-15: This week, the development team added several new features to the PetID-ICP application, including Progressive Web App (PWA) support, a login screen, and dark mode. Existing features were also improved, such as the responsivity of the ProfileScreen on mobile devices, the layout of the profile screen, and the language selector. Overall, these changes enhance the user experience, improve the app's functionality, and provide a more engaging and responsive interface.",dfx.json file found - indicates ICP/Dfinity project structure
ColettoG/icp-ant-colony-optimization,https://github.com/ColettoG/icp-ant-colony-optimization,4,0,1,5,"The README file provides a good overview of the project, including a general description, setup instructions for local development, and some guidance on running the project locally. The documentation covers the basic steps to get started with the project, including how to deploy the canisters and start the replica.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
GuilhermeJMoura/all-but-code,https://github.com/GuilhermeJMoura/all-but-code,3,0,0,3,"The documentation quality is fair, but it lacks some important elements. While it provides a good overview of the project, including its problem statement, solution, and competitive advantages, it does not include setup instructions for local development, integration instructions, or contribution guidelines. The project structure and technology stack are briefly mentioned, but there is no detailed information on how to set up the project locally or integrate it with other systems. The documentation is well-organized and easy to follow, but it could be improved by adding more specific details and practical guidance for users.",No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
mateussda/learn-on-chain,https://github.com/mateussda/learn-on-chain,3,0,1,4,"The README file provides a good general project description, explaining the problem it aims to solve and the benefits of the on-chain marketplace. However, it lacks detailed setup instructions for local development and integration instructions. The ""Como rodar"" section only provides commands for setting up the project, but it's not clear how to use the different canisters or how to integrate them.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
IaagoTavares/HACKATON-ICP-WHL25-NatRound,https://github.com/IaagoTavares/HACKATON-ICP-WHL25-NatRound,3,0,1,4,"The documentation provides a good general overview of the project, including its objectives and the proposed solution. It also offers some setup instructions for local development, which is a plus. However, the documentation is missing a detailed integration guide, which could be important for developers who want to integrate the project with other systems. Additionally, contribution guidelines are not provided, which might make it difficult for new contributors to get started.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
devyveslevi/chat_app,https://github.com/devyveslevi/chat_app,2,0,0,2,"The README file lacks essential information, making it difficult for users to understand how to set up the project locally, contribute to it, or integrate it with other systems. The file only provides a project name (""chat_app"") but does not include a general project description, setup instructions, or contribution guidelines. The file's structure and formatting are also unclear, with no clear headings or sections to guide the reader. Overall, the documentation is limited and incomplete, making it challenging for users to effectively use the project. To improve the documentation quality, the project team should provide a clear and detailed README file that includes setup instructions, a project description, and contribution guidelines.",No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
Txrmarcos/TalentChain,https://github.com/Txrmarcos/TalentChain,4,0,0,4,"The README file provides a good overview of the TalentChain project, including its purpose, key features, and system architecture. It also includes some details about the smart contracts involved, such as the User Registry, Project Manager, and Payment Escrow contracts. The file is well-structured and easy to follow, with clear headings and concise paragraphs.",No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
edu-porto/icp-bets-4-fun,https://github.com/edu-porto/icp-bets-4-fun,4,0,1,5,"The README file provides a good overview of the project, including its features, architecture, and demo. It also includes setup instructions for local development, which is excellent. The instructions are clear and concise, and the use of Docker and Docker Compose makes it easy for developers to get started. The README also includes a section on manual setup, which provides an alternative to the automated deployment process.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
Delistoianov/split-bill-icp,https://github.com/Delistoianov/split-bill-icp,4,0,1,5,"The README file provides a good overview of the project, including its problem statement, solution, and key features. It also includes a brief architecture diagram and a list of technical components. However, I would rate it as ""Good"" rather than ""Excellent"" because it is missing some important elements, such as setup instructions for local development, integration instructions, and contribution guidelines.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
misterclayt0n/data_mining_motoko,https://github.com/misterclayt0n/data_mining_motoko,4,0,1,5,"The README file provides a good overview of the project, its features, and its functionality. However, it falls short in providing detailed setup instructions for local development and contribution guidelines. The setup instructions are limited to cloning the repository and deploying the Canisters, which may not be sufficient for a new developer to get started. Additionally, there is no information on how to contribute to the project, which could be beneficial for users who want to extend or modify the code.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
c0utin/vex,https://github.com/c0utin/vex,4,0,1,5,"The README file provides a good overview of the VEX project, its features, and its capabilities. It also includes setup instructions for local development, which is a major plus. The instructions are clear and easy to follow, and they cover the necessary steps to get the project up and running.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
Panorama-Block/zico_agents,https://github.com/Panorama-Block/zico_agents,3,2,1,6,"The README file provides a good general overview of the project, including its purpose, features, and technology stack. However, it lacks some essential elements, such as setup instructions for local development, integration instructions, and contribution guidelines. The technical architecture diagram is a bonus, but it's not explicitly linked to the codebase.","2 - Commits every other week. Weekly development summary: Week of 2025-08-01: This week, the development team refactored the Avax module (feat: avax_refactor) and made fixes to the Contracts API (fix: contracts api). The refactor likely improved the Avax module's performance and maintainability, while the fixes to the Contracts API ensured its stability and accuracy. Overall, the changes were focused on internal improvements rather than adding new features.; Week of 2025-08-08: This week, the development team worked on adding new features to the project. Specifically, they integrated thirdweb, a new feature, and also bumped the version of Zico to a new one. Overall, these changes likely improve the project's functionality and compatibility.; Week of 2025-08-22: This week, a new feature was added to improve crypto data and supervisor functionality. A new agent, SwapAgent, was introduced to handle swap operations on the Avalanche network and other swap-related questions. The supervisor was modified to track known agent names and prepare database guidance text. The app.py file was updated to include the new agent and add a lightweight in-memory agent config for frontend integrations. Overall, the changes improved the system's capabilities and flexibility.",dfx.json file found - indicates ICP/Dfinity project structure
Darthpool9900/gap_project,https://github.com/Darthpool9900/gap_project,4,1,1,6,"The README file provides a good overview of the project, including its purpose, technical details, and key features. The documentation covers the project's architecture, including the frontend, backend, and blockchain components. The screenshots provide a visual representation of the application's user interface.","1 - 1 or 2 commits. Weekly development summary: Week of 2025-08-15: This week, the project underwent some structural changes with the removal of builds and dependencies, and an update to the project structure. No new features were added, but the foundation for future development was laid. Overall, the changes aim to improve the project's organization and lay the groundwork for future development.",dfx.json file found - indicates ICP/Dfinity project structure
gucorinthians/ICPInsurance,https://github.com/gucorinthians/ICPInsurance,3,0,1,4,"The README file provides a decent overview of the project, including a brief description, setup instructions, and some information about the available plugins. However, it falls short in some areas. There is no general project description that explains the purpose and goals of the project, which is important for understanding the context. Additionally, there is no integration guide or contribution guidelines, which are essential for users who want to integrate the project into their own development workflow or contribute to the project itself. The ESLint configuration examples are useful, but they are not clearly explained, and the file names and directory structures are not specified. Finally, the documentation could be improved in terms of overall clarity and structure, as some sections seem disconnected from each other.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
lucas-surdo/mydrops,https://github.com/lucas-surdo/mydrops,4,0,1,5,"The README file provides a good overview of the project, including its purpose, features, and structure. The setup instructions for local development are clear and concise, covering both mock mode and actual ICP backend development. However, the documentation could be improved by including more details on the project's architecture, integration with other systems (if applicable), and contribution guidelines. Additionally, while the file is well-structured and easy to follow, there are some minor formatting issues (e.g., inconsistent spacing between headings). Overall, the documentation is good, but could benefit from more depth and detail to make it excellent.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
Xandebrabe/events-platform-icp,https://github.com/Xandebrabe/events-platform-icp,3,0,0,3,"The README file provides a good overview of the project, its problem statement, solution, and key features. It also touches on the technical aspects, such as the architecture and technology stack. However, it lacks some essential elements, including:",No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
Buildathonzx/whisperrnote,https://github.com/Buildathonzx/whisperrnote,2,1,0,3,"The documentation provided is limited and lacks key elements. While it provides a general project description and highlights the unique features of WhisperRNote, it does not include setup instructions for local development, integration instructions, or contribution guidelines. The documentation structure is also unclear, with sections overlapping or not logically connected. Additionally, there are formatting issues, such as inconsistent use of headings and excessive use of images.","1 - 1 or 2 commits. Weekly development summary: Week of 2025-08-22: This week, the development team made significant progress, introducing a modern and professional UI design system, including a new theming system, checkered background, and responsive navigation. Additionally, the team aligned the application's backend with Appwrite, refactoring UI components and introducing new features for managing attachments, comments, and collaborators. Overall, these changes have improved the application's usability and visual appeal.",No dfx.json file found - may not be using standard ICP/Dfinity development tools
ShivamAgarwal-code/Signal-DAO,https://github.com/ShivamAgarwal-code/Signal-DAO,3,0,1,4,"The README file provides a good general project description and sets the context for the project. It also includes setup instructions for local development, which is a significant plus. However, the documentation lacks integration instructions (if applicable) and contribution guidelines, which are important elements for a comprehensive documentation. The troubleshooting section is also specific to the author's experience and may not be applicable to all users.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
calimero-network/MeroDocs,https://github.com/calimero-network/MeroDocs,4,2,1,7,"The README file provides a good overview of the MeroDocs project, including its features, architecture, and workflow. It includes a clear description of the project's purpose, technical details, and screenshots to illustrate the functionality. The file also provides some setup instructions, such as the ICP canister ID and Candid interface.","2 - Commits every other week. Weekly development summary: Week of 2025-08-01: This week, improvements were made to the PDF signature embedding and processing feature, including the addition of the pdf-lib library and updates to the blob upload and download logic. Additionally, the AgreementPage and SignaturesPage components were modified to improve their functionality and usability. Overall, the changes aim to enhance the application's PDF handling capabilities and improve the user experience.; Week of 2025-08-08: This week, significant improvements were made to the Calimero API integration, including the addition of new features such as blob discovery, identity generation, and clipboard functionality. The AgreementPage, Dashboard, and Services were migrated to the new Calimero API, and the overall context management was enhanced with improved error handling and fallback mechanisms. Additionally, several fixes and refactorings were made to improve code quality and performance.; Week of 2025-08-15: This week, significant new features were added to the document management system, including an audit trail, consent management, and enhanced document handling methods. Existing features were improved, such as the layout and styling of the dashboard and signatures page, as well as the handling of API calls and error messages. Overall, these changes enhance the system's functionality, usability, and security.; Week of 2025-08-22: This week, a new CI/CD pipeline was added for ICP canister deployment, enabling automated deployment and testing. Additionally, the ICP canister deployment workflow was enhanced with cycle input and improved structure. Minor updates and fixes were also made to the AgreementPage component, refactoring event subscription logic for improved functionality.",dfx.json file found - indicates ICP/Dfinity project structure
cryptobenkei/icp-hubs,https://github.com/cryptobenkei/icp-hubs,4,1,1,6,"The documentation is good, but could be more detailed. The README file provides a clear overview of the project, its features, and the architecture. It also includes setup instructions for local development and a pricing model for domain registration. The documentation is well-structured and easy to follow.","1 - 1 or 2 commits. Weekly development summary: Week of 2025-08-22: This week, the ICP Domain Registry project was initialized, and a significant amount of infrastructure was set up. The README file was improved, and the project's architecture was outlined, including the registry canister, domain structure, and role-based access control system. Additionally, the first commit introduced the concept of ICP Hubs, and multiple files were added to support the project's development.",dfx.json file found - indicates ICP/Dfinity project structure
prp101/develo-dao,https://github.com/prp101/develo-dao,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
fenixbul/windoge-xp-landing,https://github.com/fenixbul/windoge-xp-landing,3,1,1,5,"The README file provides a good overview of the Windoge XP project, including its purpose, features, and technology stack. However, it lacks essential documentation for local development, integration, and contribution. While it provides a live demo link, it does not include setup instructions for local development or a guide on how to integrate the project with other systems. The file also does not provide clear contribution guidelines, leaving potential contributors unsure of how to contribute to the project. Overall, the documentation is basic and could be improved by including more detailed information on setup, integration, and contribution.","1 - 1 or 2 commits. Weekly development summary: Week of 2025-08-22: This week, the development team made significant progress, introducing new features such as smart assistant improvements, canister integration services, audio files, and bootup images. Existing features were also enhanced, including core canister and IC deployment configurations. Overall, these changes bring substantial advancements to the project's user interface, services, and core functionality, streamlining development workflows and enhancing the user experience.",dfx.json file found - indicates ICP/Dfinity project structure
Ansuman30/IPX,https://github.com/Ansuman30/IPX,3,2,1,6,"The README file provides a good overview of the IPX Protocol and its architecture, but it falls short in some areas. The setup instructions are present, but they are limited to installing dependencies, deploying locally, building, and deploying specific canisters. However, there is no guidance on how to use the protocol, integrate it with other systems, or contribute to the project. The project description is brief and does not provide enough context for someone new to the project. Additionally, there are no contribution guidelines or instructions on how to report issues or submit pull requests.","2 - Commits every other week. Weekly development summary: Week of 2025-08-01: This week, the development team added a new feature to fetch revenue data from oracle endpoints and improve the registration process for campaign oracles. They also modified the Vault's invest function to mint NFTs for backers and implemented thread-local storage for the Vault state. Additionally, they added new structs and functions for managing revenue updates and investment results.; Week of 2025-08-08: This week, new features were added to the campaign-factory canister, including revenue share percentage validation and unique campaign ID generation. The ipx-dao and revenue-api-connector canisters were also modified to improve their functionality. Additionally, new files were added to the project, including declarations and a dfx configuration file.",dfx.json file found - indicates ICP/Dfinity project structure
ReCheck-io/iob-log-service,https://github.com/ReCheck-io/iob-log-service,4,1,1,6,"The documentation is good and provides a clear overview of the project's features, architecture, and components. It includes a general project description, explaining the purpose and functionality of the IoB Chain Logger & Tokenization service. The documentation also provides a detailed breakdown of the key features, including integration with the main IoB platform, automated tokenization, and immutable audit logging.","1 - 1 or 2 commits. Weekly development summary: Week of 2025-08-15: This week, a significant overhaul of the IoB Chain Logger service was completed. New features added include canister actor creation, ICRC-2 token deployment, and comprehensive Swagger documentation for all API endpoints. The service now handles blockchain operations and audit logging for building tokenization, with added support for dual mTLS authentication and cryptographic integrity.",dfx.json file found - indicates ICP/Dfinity project structure
iconworldwide/ckTON,https://github.com/iconworldwide/ckTON,4,0,1,5,"The README file provides a good starting point for new users, with a brief project introduction, setup instructions, and some information on how to get started with the project. The file includes links to additional documentation online, which is helpful for users who want to learn more about the project.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
MOONSTRUCK-team/traken-prosumer-web,https://github.com/MOONSTRUCK-team/traken-prosumer-web,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
https://github.com/Soulboard,https://github.com/Soulboard,0,0,0,0,Error during evaluation: list index out of range,Error during evaluation: list index out of range,Error during evaluation: list index out of range
