project_name,github_link,readme_documentation_score,commit_activity_score,dfx_json_score,total_score,readme_documentation_comments,commit_activity_comments,dfx_json_comments
lucas-surdo/mydrops,https://github.com/lucas-surdo/mydrops,4,0,1,5,"The documentation is generally good, providing a clear overview of the project, its features, and its structure. It also includes setup instructions for local development, which is excellent. The project description is concise and informative, giving users a good understanding of what My Drops is and what it can do. The integration guide is also well-structured, providing step-by-step instructions for running the frontend with mock data and with the actual ICP backend.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
pixeliy/pixeliy,https://github.com/pixeliy/pixeliy,4,0,1,5,"The README file is well-structured and provides a good overview of the Pixeliy project, its features, and its architecture. The documentation is clear and easy to follow, making it suitable for both technical and non-technical readers. The setup instructions for local development are comprehensive, covering the installation of dependencies, cloning the repository, and deploying canisters. Additionally, the documentation provides links to relevant resources, such as the project's website and the Internet Computer SDK.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
Youssefahmed88/ic-green-ledger,https://github.com/Youssefahmed88/ic-green-ledger,4,1,1,6,"The README file provides a good overview of the project and its purpose, as well as some basic setup instructions for local development. It includes links to external documentation resources and provides some helpful commands for getting started. However, the documentation could be more detailed and comprehensive. For example, the section on running the project locally is brief and doesn't provide much information on how to troubleshoot or debug issues. Additionally, there is no clear explanation of how to contribute to the project or what the expected workflow is for submitting changes.","1 - 1 or 2 commits. Weekly development summary: Week of 2025-08-08: This week, the development team made significant improvements to the green ledger backend, including the addition of new features and file changes. Specifically, they added support for farmer profiles, improved the policy management system, and updated the storage and types modules to handle new data structures. Additionally, they modified the payouts, policy, and weather modules to enhance their functionality and added new files such as `farmer.rs`, `nft.rs`, and `payout.rs`.",dfx.json file found - indicates ICP/Dfinity project structure
Sheko100/blockx,https://github.com/Sheko100/blockx,3,2,1,6,"The README file provides a good general project description, including a brief introduction to Verisys and its purpose. It also includes some setup instructions for building and deploying the project, which is a good start. However, the documentation could be more detailed and comprehensive.","2 - Commits every other week. Weekly development summary: Week of 2025-08-01: This week, a new React-based frontend was built for the BlockX project, replacing the previous Svelte-based implementation. The new frontend features a modern UI/UX design, improved navigation, and added support for user authentication and routing. Additionally, the project's build process was migrated from Rollup to Vite, and various dependencies were updated to their latest versions.; Week of 2025-08-08: This week, the development team laid the foundation for future growth and expansion by adding four new modules: storage, asset, utils, and hash, as well as a new user module and agent controller, introducing a new feature to the application. Although no existing features were modified or improved, the team made minor internal updates to the configuration and files. Overall, the changes lay the groundwork for future development and improvement, setting the stage for the creation of new features and the refinement of existing ones.; Week of 2025-08-15: This week, the development team focused on refining the application's components, including the frontend, config, and backend. While no new features were added, existing components were updated to improve overall performance, functionality, and stability. The dynamic time feature was introduced, and declarations were revised, contributing to a more cohesive and efficient application.; Week of 2025-08-22: This week, a new feature was added with the creation of the CertificatePDF.jsx file, allowing for the generation of PDF certificates. The initial state of the project has been expanded with this new component, bringing new functionality to the frontend. The changes are focused on the frontend logic, specifically in the components directory, indicating improvements to the user interface and experience.",dfx.json file found - indicates ICP/Dfinity project structure
KaizenOrg/kaisen,https://github.com/KaizenOrg/kaisen,4,2,1,7,"The documentation quality is good, but it could be more detailed. The README file provides a general overview of the project, including its purpose, features, and architecture. It also includes links to other documents for more information, which is a good practice. However, it lacks setup instructions for local development, which would be important for contributors or developers who want to work on the project.","2 - Commits every other week. Weekly development summary: Week of 2025-08-01: This week, the development team added new features such as the community card, skeleton of ""continueCard"" and ""postcard"", generic modal components, and a new component for tracking published and unpublished tracks. They also improved existing features like user authentication, error handling, and layout configuration settings, resulting in enhanced user experience, improved code structure, and increased consistency and readability of the application. Overall, the changes aim to provide a more organized and maintainable application with better functionality.; Week of 2025-08-08: This development week saw the addition of several new features, including a loading bubble in the track chat, interactive particle background, tutorial system, tutoring system, chatbox, and toast notification system. Existing features were improved with refactored routing, enhanced UI components, and improved navigation and section display logic. These changes significantly enhance the user experience, providing a more engaging interface with new visual effects, improved functionality, and better interaction and presentation.; Week of 2025-08-15: This week, the development team added several new features, including the ability to save track time, a Business Model Canvas in the documentation, and a tutorial feature with minting logic and user completion tracking. Existing features, such as the NFT modal, were improved with visualization enhancements and fixes for importation issues. Overall, the changes enhanced the user experience, improved documentation quality, and introduced a progressive track feature, representing a significant development milestone.; Week of 2025-08-22: This week, improvements were made to the high-fidelity prototypes, with new images added to the screens application folder and updates to the documentation. The `documents/wad.md` file was modified, adding content related to the second version of the application and its development. Additionally, the `documents/assets/screens-aplication` folder saw the addition of new images, such as `nft-awarded.png` and `profile-overview.png`.",dfx.json file found - indicates ICP/Dfinity project structure
k0t11k/FINAL-REV_ERAICP,https://github.com/k0t11k/FINAL-REV_ERAICP,3,0,1,4,"The README file provides a good overview of the project, its features, and technology stack. However, it lacks setup instructions for local development, integration instructions, and contribution guidelines. The file is well-structured and easy to follow, but it falls short in providing essential information for developers and contributors.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
Brunocmarino/hackathon-ICPHubBR,https://github.com/Brunocmarino/hackathon-ICPHubBR,4,0,1,5,"The documentation is good, but it could be more detailed. The README file provides a general overview of the project, its features, and the technologies used. The instructions for installation and execution are also present, which is a significant strength. However, the documentation could be improved by including more context about the project's goals, its target audience, and the decision-making process behind the choice of technologies.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
joaosotto/ICP-TicketSystem,https://github.com/joaosotto/ICP-TicketSystem,4,0,1,5,"The documentation is good, providing a clear overview of the project's purpose, features, and technology stack. The technical aspects are well-documented, including the architecture, components, and technologies used. However, it lacks a general project description that would help readers understand the context and motivation behind the project.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
sourcerer7/ak69,https://github.com/sourcerer7/ak69,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
idarkstudio/UN-LOGIN-IC-IDS,https://github.com/idarkstudio/UN-LOGIN-IC-IDS,4,2,1,7,"The README file provides a good overview of the project's purpose, architecture, and components. It includes a clear description of the canister's functionality, its interactions with other canisters and services, and its architecture diagram. The file also provides a suggested repository structure, which is helpful for developers who want to contribute or extend the project.","2 - Commits every other week. Weekly development summary: Week of 2025-08-01: This week, several improvements were made to the frontend components and global styles, including the addition of error/success handling, localization, and improved loading states to the contact form. Additionally, the About, AboutUs, Contact, Footer, Hero, ROMUniverse, and Token components were refactored for better accessibility and translation support. Overall, the updates aim to enhance the user experience and improve the overall visual effects and text clarity.; Week of 2025-08-15: This week, a new feature was added to the frontend by integrating Google Analytics tracking script into the index.html file, allowing for better website analytics.",dfx.json file found - indicates ICP/Dfinity project structure
metasmile/quaisar-1a,https://github.com/metasmile/quaisar-1a,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
LuneaSomnia/AletheiaDapp,https://github.com/LuneaSomnia/AletheiaDapp.git,4,2,1,7,"The documentation is good and provides a clear overview of the Aletheia project. The README file includes a general project description, outlining the project's purpose and core elements. Additionally, it provides a table of contents, which helps to organize the content and make it easier to navigate. The enhanced conceptual design section provides a detailed user flow, including onboarding, login, and dashboard features. The design considerations section also provides an overview of the frontend and backend architecture.","2 - Commits every other week. Weekly development summary: Week of 2025-08-01: This week, the development team added technical documentation for the Aletheia DApp, including component APIs and usage examples. Improvements were made to the documentation, and new files were added to support this effort. Additionally, minor updates and fixes were made to existing files, but no significant new features were added.; Week of 2025-08-08: This week, the development team made significant improvements to the AI integration feature, claim handling, and user registration. They added features such as versioned fact entries, reputation tracking, and secure awarding APIs, and modified existing features like claim submission and profile storage. These changes enhance the system's stability, security, and user experience, resulting in a more reliable and efficient application.; Week of 2025-08-15: This week, the development team laid the groundwork for future frontend development by setting up a new frontend testing framework using MSW mock API, upgrading frontend development tools, and integrating mock scaffolding with cross-UI routing and configuration. Additionally, a frontend mock layer was built from the backend canisters, including MSW handlers, OpenAPI stubs, services, and tests, significantly improving the development workflow and providing a robust testing infrastructure. Overall, the team made significant progress in enhancing the project's testing infrastructure, making it more efficient and reliable.",dfx.json file found - indicates ICP/Dfinity project structure
mrarejimmyz/AVAI-CannisterAgent,https://github.com/mrarejimmyz/AVAI-CannisterAgent,3,2,0,5,"The README file provides a good overview of the project's features and technical details. However, it lacks essential documentation elements, such as setup instructions for local development, general project description, and contribution guidelines. The file primarily focuses on showcasing the project's capabilities and technical aspects, which may be useful for developers and researchers familiar with the project. However, it may not be suitable for users who want to get started with the project or contribute to it.","2 - Commits every other week. Weekly development summary: Week of 2025-08-01: This week, the README.md file was updated to improve the installation and testing instructions, resulting in better documentation for users. No new features were added, and no files were added, deleted, or renamed. Overall, the changes were minor and focused on refining the existing documentation.; Week of 2025-08-15: This week, significant progress was made in setting up the project infrastructure, including the creation of a README file, setup.py, and requirements.txt. The project port was also configured, and the gitignore was reconfigured to better manage the project's files, providing a solid foundation for future development. Overall, the changes focused on project setup, with no new features added, but laying the groundwork for future improvements.; Week of 2025-08-22: This week, the team made significant improvements to the frontend infrastructure, introducing a new Websocket feature with an echo server and refining the project's codebase by removing unused UI components, simplifying dark mode configuration, and adding new dependencies to enhance date selection and UI functionality. Additionally, the team refactored metadata, updated Tailwind CSS imports, and added caching headers for static assets. Overall, these changes aim to streamline the code, improve performance, and enhance usability.",No dfx.json file found - may not be using standard ICP/Dfinity development tools
VishalVermaa01/verdictXR,https://github.com/VishalVermaa01/verdictXR,4,1,1,6,"The documentation is good, but it could be more detailed in some areas. The README provides a general project description, outlining the vision and modules overview. It also includes a project structure and a quickstart guide for setting up the backend and frontend. However, it lacks detailed instructions for local development, such as dependencies and configuration. Additionally, the integration guide is minimal, and the contribution guidelines are limited to opening an issue or PR. The documentation is well-structured and easy to follow, but it could benefit from more information on setting up the project for local development and more comprehensive integration and contribution guidelines.","1 - 1 or 2 commits. Weekly development summary: Week of 2025-08-08: This week, the development team added Vite compatibility, effectively implementing a new feature that improves the project's development experience. No existing features were modified or improved, focusing solely on introducing this new capability.",dfx.json file found - indicates ICP/Dfinity project structure
AAK581/ic-carnage,https://github.com/AAK581/ic-carnage,4,0,1,5,"The documentation is good, but it could be more detailed and structured. The README file provides a good overview of the project, its purpose, and how to get started with local development. The inclusion of links to external documentation and tutorials is a plus. However, some sections, such as the ""Note on frontend environment variables"" section, seem out of place and disrupt the flow of the documentation.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
akilesh464/icp-FinSence,https://github.com/akilesh464/icp-FinSence.git,4,0,1,5,"The README file provides a good starting point for understanding the project's structure, features, and setup instructions. It includes a clear project description, installation instructions, and a project structure overview. Additionally, it covers some important topics such as adding routes, styling, and deployment. However, the documentation could be more comprehensive and detailed. For example, there is no information on how to use the project's features, such as Redux Toolkit and React Router v6, and no contribution guidelines are provided. The documentation is also quite concise and lacks explanations for some technical terms, making it less accessible to readers who are not familiar with the technologies used. Overall, the documentation is good but could benefit from more detail and clarity.",0 - no commits. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
keygate-io/swaps,https://github.com/keygate-io/swaps,3,0,1,4,"The documentation in the README file provides a good starting point, but it falls short in some areas. The setup instructions are clear and concise, covering the installation of the SDK via npm and the integration of the provider in the `app.tsx` file. However, the general project description is missing, which would be helpful for users who are new to the project.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
sambutracy/ForecastLive,https://github.com/sambutracy/ForecastLive,4,2,1,7,"The README file provides a good starting point for understanding the project's features, tech stack, and setup instructions for local development. The project description is brief but effective in conveying the purpose and functionality of the Forecast Live dApp.","2 - Commits every other week. Weekly development summary: Week of 2025-08-08: This week, several features were added or improved, including a centralized environment configuration, NFID import functionality testing, and support for fallback values during development. The authentication process was also enhanced with the implementation of mock authentication and improved error handling in the AuthContext. Overall, the changes aim to streamline the frontend build process and improve the overall development experience.; Week of 2025-08-22: This week, the development team added group management features to the application, including the ability to create, join, and manage groups. The existing dashboard component was modified to display user groups and allow for sharing of invite codes. Additionally, the AuthContext was updated to include authentication-ready state and the CanisterContext was modified to provide a mock usersActor for development purposes.",dfx.json file found - indicates ICP/Dfinity project structure
RhyenSftwareEngr/SkillMint,https://github.com/RhyenSftwareEngr/SkillMint,3,0,1,4,"The README file is decent but lacks some essential details. It has a good introduction to the project, including its purpose and a brief overview of its features. However, it falls short in providing setup instructions for local development, integration instructions, and contribution guidelines. The file also includes some irrelevant information, such as the project's social media links and demo video links, which can be moved to a different section.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
smirk-dev/BharatChain,https://github.com/smirk-dev/BharatChain,4,2,0,6,"The README file provides a good starting point for understanding the BharatChain project. It includes a clear project description, highlighting its features and benefits. The quick-start guide is well-structured, providing detailed instructions for launching the project, including prerequisites, options for launching, and what to expect during the startup process.","2 - Commits every other week. Weekly development summary: Week of 2025-08-08: This week, the development team added new features for multilingual support, theme management, Ethereum wallet connection, AI processing for document uploads, and grievance management, as well as citizen registration and profile management. Existing features were also improved, including in-memory data store for citizen, document, and grievance management, and citizen profile retrieval functionality. The overall impact is the foundation for a citizen grievance management system with robust authentication, data management, and user experience capabilities.; Week of 2025-08-22: This week, the development team made significant improvements to the Web3 context, adding new features such as SimpleWeb3Context for wallet connection, address sanitization, and network handling, and enhancing existing features like message signing, error handling, and wallet authentication. The team also built new features like the CitizenDashboard, GrievanceSystem, and DocumentRegistry contracts, and improved the overall user experience through refinements to the registration flow, authentication processes, and error handling. The updates aim to provide a more streamlined, robust, and reliable experience for users, with enhanced functionality and improved performance.",No dfx.json file found - may not be using standard ICP/Dfinity development tools
amrshaker000/origin_trace,https://github.com/amrshaker000/origin_trace,4,0,1,5,"The documentation is good and provides a solid foundation for understanding the project. It includes a general project description, feature highlights, and a technology stack overview. The installation instructions are also clear and concise, covering cloning the repository, installing dependencies, building Tailwind CSS, and starting the development server.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
Haxor44/Flexwage,https://github.com/Haxor44/Flexwage,4,0,1,5,"The README file is well-structured and provides a good overview of the FlexWage platform, its features, and the tech stack. It also includes diagrams and code snippets to help illustrate the architecture and data models.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
NMsby/rotatechain,https://github.com/NMsby/rotatechain.git,3,2,1,6,"The README file provides a good general overview of the RotateChain project, including its problem statement, solution, value proposition, and architecture overview. However, it falls short in terms of providing setup instructions for local development, integration instructions (if applicable), and contribution guidelines. The file does not provide information on how to install or run the project locally, which can make it difficult for developers to get started with the project. Additionally, there is no clear guidance on how to contribute to the project, which may deter potential contributors. The file's clarity and structure are generally good, but the lack of essential information brings down the overall score.","2 - Commits every other week. Weekly development summary: Week of 2025-08-08: This week, two commits were made, focusing on updating the plug feature and optimizing chain management. The plug feature was updated, while chain-management was optimized, resulting in improved performance and functionality. Overall, these changes aim to enhance the overall user experience.; Week of 2025-08-15: This week, the development team completed the implementation of the rotational savings backend for WCHL25, adding new features such as group creation and lifecycle management, member joining with validation, and contribution tracking. Existing features were also improved with enhanced error handling, scalable data structures, and clean API design. The new implementation is now production-ready for submission, with comprehensive platform analytics and progress tracking.; Week of 2025-08-22: This week, the development team implemented real ICP payment integration, allowing for actual ICP transfers in group contributions and payouts, while also enhancing the backend with improved modules for group and payment management, including comprehensive error handling and transaction management. Additionally, they integrated the Utils module to improve input validation, sanitization, and security, and fixed critical compilation warnings and resolved potential runtime errors.",dfx.json file found - indicates ICP/Dfinity project structure
Wiktor102/icp-hackathon,https://github.com/Wiktor102/icp-hackathon,3,2,1,6,"The README file provides a good general overview of the HurtChain platform and its features, including screenshots and descriptions of each section. However, it lacks setup instructions for local development, which is an important aspect of technical documentation. The file also does not include integration instructions or contribution guidelines, which would be beneficial for users who want to use the platform or contribute to its development. The overall clarity and structure of the file are good, and the grammar and formatting are correct. Overall, the documentation is basic and could be more detailed and comprehensive.","2 - Commits every other week. Weekly development summary: Week of 2025-08-08: This week, the development focused on translating the Polish text to English across the application. The changes included modifying multiple files to replace Polish text with English, updating the wording and formatting to ensure consistency. Additionally, some minor updates and fixes were made to improve the application's functionality and user experience.; Week of 2025-08-15: This week, the development team implemented a new chat feature with UI components and infrastructure, including websockets for Internet Connectivity Protocol (ICP). They also refactored the ChatWindow component for better readability and fixed several issues, such as selecting a chat icon and adjusting the chat window height. Overall, the changes aim to improve the chat feature and provide a better user experience.; Week of 2025-08-22: This week, the development team made significant improvements to the frontend, added the ability to download details of other chat participants, and fixed several issues, including a dangerous function, a React error, and a user creation race condition. They also modified the ""conversations"" feature to make it more stable and reliable. Overall, these changes aimed to enhance the user experience, stability, and reliability of the platform.",dfx.json file found - indicates ICP/Dfinity project structure
ShaktiStark/ecochain-wchl-hackathon,https://github.com/ShaktiStark/ecochain-wchl-hackathon,4,0,1,5,"The README file provides a good overview of the EcoChain project, including its purpose, features, and technology stack. The documentation is well-structured and easy to follow, making it easy to understand the project's concept and functionality. The installation and setup instructions are also clear and comprehensive, providing a smooth experience for developers who want to work on the project locally.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
Yogabuild/ideal-contract,https://github.com/Yogabuild/ideal-contract,2,0,1,3,"The README file is quite minimal and lacks essential information for a comprehensive understanding of the project. The only content present is a link to a Google Doc that appears to be a strategic vision and project design document. There is no setup instruction for local development, general project description, integration guide, or contribution guidelines. The file does not provide an overview of what the project is about, how to get started, or how to contribute to it. The lack of information makes it difficult for developers to understand the project's purpose, scope, and requirements, which is crucial for effective collaboration and progress. The overall clarity and structure of the document are also lacking, making it difficult to follow or understand the purpose of the link provided.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
