project_name,github_link,readme_documentation_score,commit_activity_score,dfx_json_score,total_score,readme_documentation_comments,commit_activity_comments,dfx_json_comments
rahulrr-coder/karbyn,https://github.com/rahulrr-coder/karbyn,4,2,1,7,"The README provides a solid project description, clear motivation, and a concise overview of features and architecture. It includes practical setup instructions for local development (prerequisites, cloning, installing dependencies, starting the ICP replica, deploying, and running the dev server), which is a strong point. The sections on use cases, revenue model, and roadmap add useful context. However, the contribution guidelines are incomplete—they stop abruptly after “Report bugs or suggest feat,” lacking details on how to submit pull requests, coding standards, testing, or the review process. There is no explicit integration guide (e.g., how external services or other apps might consume the platform’s APIs/NFTs), which would be expected for a “5 – Excellent” score. Overall the documentation is well‑structured, clear, and mostly free of grammatical issues, but the missing detailed contribution steps and integration information keep it from the top rating.","2 - Commits every other week. Weekly development summary: Week of 2025-09-08: This week the project was refactored to drop Web3Auth, biometric services, and AI‑based verification, replacing them with a simplified NFID‑based authentication flow (new NFID_AUTH_GUIDE.md, updated AuthButton, UserStatus, Header, Footer, and removal of related Web3Auth/biometric files). New lightweight UI components (LazyAI, LazyCharts) were added and the Vite build was tuned with finer chunking and dependency grouping, while unnecessary packages (Next.js, face‑api.js, Web3Auth libs) were removed from package.json. Overall the changes streamline authentication, reduce bundle size, and clean up the codebase for a leaner frontend.; Week of 2025-09-15: Implemented a functional authentication system and added MetaMask-based login support, enhancing user access security and enabling crypto‑wallet authentication.",dfx.json file found - indicates ICP/Dfinity project structure
TriplePanicLabs/grindurus-frontend-icp,https://github.com/TriplePanicLabs/grindurus-frontend-icp/tree/main,3,0,1,4,"The README provides a solid project overview, a clear directory structure, and fairly detailed local development and deployment instructions (including required tools, `npm install`, starting the replica, and deploying the canister). The sections describing the UI pages are helpful for understanding functionality.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
AlBasyaar/Web3-Skillsnap-dapp,https://github.com/AlBasyaar/Web3-Skillsnap-dapp,3,2,1,6,"The README provides a solid general project description, showcases key features with screenshots, and includes links to external resources (documentation, pitch deck, demo video). However, it lacks essential elements for developers: there are no clear setup or installation instructions for local development, no integration guide, and no contribution guidelines. The “Requirements (for local development)” section is incomplete, and there’s no step‑by‑step guidance on how to get the project running or how others can contribute. Grammar and formatting are generally acceptable, but the missing core documentation reduces its overall usefulness, placing it at a “Fair” level.","2 - Commits every other week. Weekly development summary: Week of 2025-09-01: Added Dockerfile and docker‑compose.yaml to enable containerized development and deployment. Enhanced the AuthForm component to create a DFINITY HttpAgent and backend actor using the logged‑in Internet Identity, storing the actor globally for subsequent canister interactions. These updates introduce container support and integrate front‑end authentication with the backend canister.; Week of 2025-09-08: Implemented protected routing and added two new pages—Recommendation and Profile—while updating the navigation (App, Navbar, Sidebar) to replace old links with Dashboard, Recommendation, and Profile entries. Enhanced the authentication flow (AuthForm) and streamlined backend calls in the personality assessment component, including new html2canvas and file‑saver imports. These changes expand core functionality with user‑specific features and improve route security and UI consistency.; Week of 2025-09-15: This week we introduced AI chat, course functionality, and a new authentication system, added backend enhancements, and refreshed the UI for menu profile and the AI, dashboard, job, and profile sections. Minor updates and fixes were applied throughout the codebase, and documentation was clarified with clearer local‑development instructions and a console‑log cleanup. Together, these changes expand core capabilities, improve usability, and streamline developer onboarding.",dfx.json file found - indicates ICP/Dfinity project structure
Bonded2/Bonded-App,https://github.com/Bonded2/Bonded-App,4,1,1,6,"The README provides a solid project overview, clear architecture diagram, and a comprehensive “Getting Started” section that walks a developer through local setup (prerequisites, cloning, dependency installation, starting a local ICP network, deploying the canister, generating frontend bindings, configuring the environment, and running the dev server). It also includes deployment instructions, a project‑structure diagram, separate sections for frontend/backend development, testing commands, and a concise contribution guide.","1 - 1 or 2 commits. Weekly development summary: Week of 2025-09-01: This week the frontend received a comprehensive UI overhaul, standardizing back‑button components across many screens with larger, responsive, and interactive styles. New backend integration was added by extending the API service with a `get_timeline` method and a corresponding `fetchTimeline` helper, and the registration flow was updated to use a freshly‑initialized ICP user service. Additionally, utility scripts (`fix-dev-issues.sh`, `aiCdnLoader.js`, `nodePolyfills.js`) were introduced to streamline development.",dfx.json file found - indicates ICP/Dfinity project structure
saheramr15/CargoTrace,https://github.com/saheramr15/CargoTrace,0,2,1,3,No documentation assessment provided.,"2 - Commits every other week. Weekly development summary: Week of 2025-09-08: This week’s work focused on minor updates and bug fixes across the codebase, refining existing functionality and addressing reported issues. The changes improve overall stability and performance without introducing new features. As a result, the product is more reliable and offers a smoother user experience.; Week of 2025-09-15: This week we introduced major new functionality, adding user and admin dashboards with loan transactions visible in wallets, admin canister‑funding and loan‑approval using test tokens, and a streamlined login flow with updated navigation and footer. We also integrated Tailwind CSS, refreshed the landing page with new “Why Choose Us,” “How It Works,” and problem‑solution sections plus additional animations and visual polish, and performed extensive CSS cleanup and minor UI tweaks. Together, these updates enhance financial features, improve the overall user experience, and modernize both the codebase and design.",dfx.json file found - indicates ICP/Dfinity project structure
Kyrylog/proof-of-recycling,https://github.com/Kyrylog/proof-of-recycling/,3,0,1,4,"The README provides a clear general description of the project, its purpose, and the high‑level workflow. It includes useful local‑development setup instructions, both via the provided `Makefile` and the raw `dfx` commands, as well as steps to run the frontend in watch mode. The project structure and unique features are listed, and there are links to a presentation, demo video, and deployed instance.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
demigohu/Fintrack_new,https://github.com/demigohu/Fintrack_new.git,2,2,1,5,"The README provides a solid high‑level overview of the FinTrack Protocol, its value proposition, and a detailed list of features, which satisfies the “general project description” criterion. However, it lacks essential practical information: there are no setup or local development instructions, no guide on how to integrate the protocol into other projects, and no contribution guidelines for developers. The architecture diagram is incomplete, and the document ends abruptly, indicating missing sections. While the formatting and grammar are generally good, the significant gaps in actionable documentation keep the overall quality at a limited level.","2 - Commits every other week. Weekly development summary: Week of 2025-09-08: Added a new Bridge page and introduced Budget and Goals functionality. Updated the Deposit page, removed the Withdraw page, and refined transaction handling. These changes expand financial features while streamlining the user interface.; Week of 2025-09-15: Added a KongSwap implementation with IC​RC‑1 token support and enhanced the front‑end by introducing a CoinGecko API, ERC‑20 balance display, and migration readiness. Completed an initial Uniswap integration, though it still requires redesign. Overall, the week focused on expanding swap functionality, supporting additional token standards, and improving UI/API features.",dfx.json file found - indicates ICP/Dfinity project structure
Nimakra/Climatio,https://github.com/Nimakra/Climatio,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
cultureic/ckPayment,https://github.com/cultureic/ckPayment,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
mangekyou-labs/oreka,https://github.com/mangekyou-labs/oreka,3,0,1,4,"The README provides a solid high‑level overview, key features, architecture diagram, and a brief tech stack, which gives readers a good sense of what the project does. It includes some prerequisites for local development, but the “Getting Started” section is incomplete (the steps stop after “1. Start the local replica:” with no further commands, build instructions, or deployment steps). There is no integration guide for using the market canisters in other projects, nor any contribution guidelines, code of conduct, or instructions for running tests. Grammar and formatting are generally clear, but the missing practical setup details and contribution information keep the documentation at a “fair” level rather than “good” or “excellent.”",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
Sid31/datalab-ai,https://github.com/Sid31/datalab-ai,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
EmekaAgara/rwa-app,https://github.com/EmekaAgara/rwa-app,3,1,1,5,"The README provides a solid project overview, clear key‑feature list, tech‑stack table, and a helpful project‑structure diagram. It includes basic local‑development setup steps (dependency installation, starting the ICP replica, deploying canisters, running the frontend server, and running tests). However, it lacks several important elements for higher‑quality documentation:","1 - 1 or 2 commits. Weekly development summary: Week of 2025-09-15: This week the front‑end Internet Identity components (WalletConnect and InternetIdentity) were updated to use the new “https://id.ai” provider, completing an II v2 upgrade. The backend RWA canister was changed to a persistent actor with flexible state variables, fixing a persistence bug and improving upgrade safety. Additionally, a copy of the main Motoko file was added, likely for testing or reference.",dfx.json file found - indicates ICP/Dfinity project structure
WCHL25/transkripin,https://github.com/WCHL25/transkripin,0,2,1,3,No documentation assessment provided.,"2 - Commits every other week. Weekly development summary: Week of 2025-09-08: Implemented new backend query endpoints (`get_final_result` and `list_user_final_results`) and introduced a dedicated upload service layer, moving the transcription and Ollama helper functions into `src/backend/src/modules/upload/service` (including a new `fetch_transcription` module). The upload module was refactored to use this service and simplify its imports, while the frontend added a debug log and a minor typo fix. Overall, the changes enhance the API for retrieving final results and cleanly separate transcription logic from the core upload code.; Week of 2025-09-15: This week we introduced chunked file uploading with bookmark‑status metadata, added a lazy‑loaded page featuring empty‑state messaging and bookmark toggling, and rolled out functional Explore, My Work, and Saved Work lists alongside segmented transcription output with duration‑seeking playback. Artifact handling was enhanced with search filtering, auto‑generated titles, stronger filtering options, new detail‑page functions, a scaffolded handler module, and a refactored save‑final‑result flow for better performance. Additionally, we removed the use‑debounce dependency, fixed a backend error, and delivered various minor updates, improving overall usability, performance, and robustness.",dfx.json file found - indicates ICP/Dfinity project structure
ClyprLab/clypr,https://github.com/ClyprLab/clypr,3,0,1,4,"The README provides a solid high‑level overview, live deployment links, status update, feature list, and an architectural snapshot, which together give a clear picture of what the project does and its current maturity. However, the sections that would deliver practical guidance—such as “Quick Start (Local Dev)”, “dApp Integration Examples”, and any contribution guidelines—are only mentioned in the table of contents and not actually shown in the excerpt. Without concrete setup instructions, integration steps, or guidelines for contributors, developers new to the project would lack the necessary details to get the system running locally or to start contributing. The existing content is well‑structured and grammatically sound, but the missing actionable documentation keeps the overall quality at a “fair” level.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
Jayesh45-master/jarvis,https://github.com/Jayesh45-master/jarvis,3,0,1,4,"The README provides a decent overview of the J.A.R.V.I.S project, listing features, tech stack, project structure, installation steps, environment setup, and basic usage. However, the documentation has several shortcomings:",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
Kazeth/DigiPurse,https://github.com/Kazeth/DigiPurse,0,2,1,3,No documentation assessment provided.,"2 - Commits every other week. Weekly development summary: Week of 2025-09-08: The landing page UI received a comprehensive redesign with a fresh visual layout. Font styles across the application were updated to improve readability and consistency. Together, these changes enhance the overall user experience.; Week of 2025-09-15: This week the frontend UI was enhanced: the About Us page’s team data was streamlined and a GitHub icon added; the Landing page received a new hero carousel with gradient‑styled feature cards (including a new “Coins” feature) and a marquee component; and the Support page’s chat UI was refactored with initial message handling, saved‑chat state, additional icons, and improved scrolling. A new dependency, **react‑fast‑marquee**, was added to the project (updated in package.json and lockfile). Overall, these changes improve visual polish, interactivity, and user experience without altering backend functionality.",dfx.json file found - indicates ICP/Dfinity project structure
sorbadek/micha,https://github.com/sorbadek/micha,0,0,1,1,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
emf99/zkSMT,https://github.com/emf99/zkSMT.git,2,0,1,3,"The README provides a high‑level overview of the project's goals, the cryptographic flow, and some conceptual background on zero‑knowledge proofs and Sparse Merkle Trees. It includes illustrative examples and JSON proof data, which helps convey the nature of the output.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
jaibhedia/stakecommerce,https://github.com/jaibhedia/stakecommerce,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
RaghavNotFound/OOPS5_WCHL,https://github.com/RaghavNotFound/OOPS5_WCHL,0,0,1,1,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
hunters-code/plantify,https://github.com/hunters-code/plantify,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
FLUX-APP-LAB/flux,https://github.com/FLUX-APP-LAB/flux,3,2,1,6,"The README provides a solid project overview, clear installation steps, and instructions for running the application locally, which covers the essential setup for developers. It also outlines the development workflow, lists key features, and gives some guidance on wallet integration and configuration. However, the documentation is incomplete in several areas: the **Contributing** and **License** sections referenced in the table of contents are absent, there is no detailed contribution guide, and the license information is missing entirely. Additionally, there are minor formatting and grammatical issues (e.g., an extra back‑tick in the install command block, a truncated Documentation link, and a typo in “Flux will supports”). While the core setup instructions are present, the lack of contribution guidelines and licensing details prevents it from being a fully comprehensive reference, resulting in a fair rating.","2 - Commits every other week. Weekly development summary: Week of 2025-09-08: Minor updates and fixes.; Week of 2025-09-15: This week we delivered a comprehensive live‑streaming suite, revamping the UI with modern styling, animated status badges, and a full‑screen management dashboard (MainLayout, StreamManagementDashboard, LiveStreamList, StreamViewer with chat) backed by new WebRTCStreamPlayer, streaming service, CommentService, and UserService modules that handle real‑time connections, viewer counts, avatar conversion, optimistic likes, and robust error handling. The authentication and navigation flows were refactored to include a loading screen, state‑based routing, ProtectedRoute/AppRouter security, improved wallet‑connection handling, environment‑variable integration, and a refined signup flow that disconnects wallets on back navigation. Together, these changes provide a more polished, reliable, and performant experience for users and developers alike, with added TypeScript typings and performance optimizations across the platform.",dfx.json file found - indicates ICP/Dfinity project structure
DannyVRSE/CLM,https://github.com/DannyVRSE/CLM,2,0,1,3,"The README provides a few essential setup steps (cloning the repo, installing npm packages, and running a deployment script), which is helpful for getting the code to run locally. However, it lacks a clear project description that explains the purpose, architecture, or core functionality of the repository. There are no integration or usage guides beyond high‑level example scenarios, and there are no contribution guidelines, code of conduct, testing instructions, or information about licensing. The structure is minimal, with some formatting inconsistencies (e.g., a stray “deployed branch.” line at the top) and limited explanatory text. Overall, while the basic install steps are present, the documentation is missing many critical sections needed for a developer or contributor to understand, use, or contribute to the project effectively.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
Infinity-Task-Protocol/Infinity-task-protocol,https://github.com/Infinity-Task-Protocol/Infinity-task-protocol,3,1,1,5,"The README provides a solid high‑level overview of the project, clearly stating the problem it solves, the proposed solution, and a step‑by‑step “How It Works” flow. It also includes links to a whitepaper, license, deploy instructions, and a progress report, as well as screenshots of the live backend and frontend, which aid understanding.","1 - 1 or 2 commits. Weekly development summary: Week of 2025-09-15: Added a delivery acceptance modal to indicate when a delivery is in progress, and implemented functionality to pull notifications. This enhances user feedback during delivery operations and ensures timely notification updates.",dfx.json file found - indicates ICP/Dfinity project structure
mateussda/learn-on-chain,https://github.com/mateussda/learn-on-chain,0,0,1,1,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
Reputation-DAO/Reputaion-DAO,https://github.com/Reputation-DAO/Reputaion-DAO,3,2,1,6,"The README provides a clear high‑level description of the project, its use‑cases, key rules, technical design, and next steps, and it is well‑structured and reasonably free of grammatical errors. However, it lacks essential practical information. There are no explicit setup instructions for local development (e.g., installing the ICP SDK, building and deploying the Motoko canister, or running tests). Integration guidance is limited to a vague statement that other dApps can “fetch rep,” without any API usage examples, authentication details, or sample code. A contribution guide (how to submit PRs, code style, issue reporting, etc.) is also missing. Because the documentation covers the core concepts but omits these important elements, it falls into the “basic documentation present but missing some important elements” category.","2 - Commits every other week. Weekly development summary: Week of 2025-09-08: A new “factoria” Motoko canister was added as a scalable factory for creating and reusing Reputation DAO child canisters, with updated creation logic, argument encoding, and size‑optimization flags in dfx.json. The Reputation DAO code was refactored into a streamlined child canister (src/reputation_dao/main.mo) and accompanying test scripts and wasm argument files were introduced. A minor front‑end tweak updates the Hero component’s YouTube link.; Week of 2025-09-15: This week we merged the newUI branch to integrate a modern Tailwind UI, updating dependencies and canister IDs while preserving existing backend services. We also cleaned the codebase by removing duplicate files, fixing import paths, and updating tsconfig, resulting in a successful build with no errors. Minor updates and fixes were applied, further enhancing overall project stability.",dfx.json file found - indicates ICP/Dfinity project structure
MazenMarei/Tal3a,https://github.com/MazenMarei/Tal3a,2,0,1,3,"The README provides a nice visual header, a brief project overview, and a list of key features, which gives readers a high‑level sense of what Tal3a is and why it matters. However, it lacks essential documentation components:",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
TharunBabu-05/smart_ticket_MTC,https://github.com/TharunBabu-05/smart_ticket_MTC.git,2,2,1,5,"The README provides a visual overview of the database layout, external services, project directory tree, key data models, and a high‑level description of core functionalities (authentication, profile management, ticket booking). However, it lacks essential documentation elements:","2 - Commits every other week. Weekly development summary: Week of 2025-09-08: Implemented a full voice‑driven ticket‑booking flow with speech‑to‑text and text‑to‑speech capabilities, and added a new iOS‑specific feature that extends platform support. Additionally, the iOS build workflows and documentation were refined to resolve configuration issues, boosting CI/CD reliability and overall stability.; Week of 2025-09-15: This week we added a comprehensive review and rating system, a Live Bus Tracking screen with Google‑Maps integration and ICP blockchain wallet/ticket purchasing, and a Safety Features module for SOS alerts and live‑location sharing, while expanding the weather experience with real‑time forecasts, recommendations, and a Usage Analytics dashboard. We also introduced a Personalization service and upgraded the Profile, Home, and All Reviews screens with adaptive theming, avatar editing, gradient backgrounds, a compact weather widget, and a shared ThemedScaffold, accompanied by extensive refactoring for better readability and maintainability. Accessibility was markedly improved through font‑size scaling, gesture‑based navigation, high‑contrast preview, and numerous UI refinements, delivering a more cohesive and user‑friendly experience.",dfx.json file found - indicates ICP/Dfinity project structure
Blessan-Alex/ICP-CDN,https://github.com/Blessan-Alex/ICP-CDN,2,0,1,3,"The README provides a solid high‑level project description, architecture diagram, and links to demo videos, which are helpful for understanding what the project does. However, the bulk of the documentation promised in the table of contents (e.g., Quick Start, Prerequisites, Installation, Configuration, Environment Variables, Core Features, Testing & Development, Deployment, Contributing, License, etc.) is absent from the excerpt. There are no concrete setup instructions for local development, no integration guide for consuming the dCDN, and no contribution guidelines. The existing sections are clear and well‑formatted, but the critical practical information needed to get the project up and running or to contribute is missing, resulting in a documentation set that is incomplete and of limited utility. Hence, the documentation quality rates as **Poor (2)**.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
