original_job_id,job_id,title,institution,company_id,location,experience_years_required,experience_level,field_of_study,salary_min,salary_max,published_at,expires_at,status,real_total_applicants,real_total_engagements
5100000000-801111000000000000-00386,1c9bc88d-bec4-5ead-919b-8118b1914ac9,Local revenue collection & Inspection Officer,KAMONYI DISTRICT,30d0d5e5-7597-5c8c-a2fc-475f3f56cf79,Gakenke,0,entry,"Business, Administration and Law",220000,268038,10/07/2026,12/02/2027,active,3621,3621
7000000000-801202010103000000-00368,7f321590-4176-5c0f-8d50-96a5b806219e,Building Inspector,CITY OF KIGALI,b483bb3a-2b51-5e1c-9ff4-3e206ca73582,Huye,0,entry,"Engineering, Manufacturing and Construction",220000,255400,01/08/2026,25/03/2027,active,1045,1045
5400003002-021101000000000000-00005,d0d00db3-1741-59b3-8191-569469b7fcfd,Director of Nursing and Midwifery,RUSIZI DISTRICT,ccdd88e7-36d4-5f77-8419-148f566e219f,Rusizi,3,mid,Health and Welfare (Health and Medical Sciences),475000,647465,10/09/2026,29/12/2026,active,2,2
1417000000-301101070302000000-01305,3596e0aa-cc7e-5364-a286-34beb8f37882,Assistant Lecturer  in Private Law,UNIVERSITY OF RWANDA,b48f5840-b3ad-581e-977f-655b68b83732,Nyagatare,2,mid,"Business, Administration and Law",450000,606658,02/08/2026,15/03/2027,active,6,6
1005000000-901202010000000000-00069,3a155b73-0047-517c-be45-ce80cacc2369,Accountant,"RWANDA INSPECTORATE , COMPETITION  AND CONSUMER PROTECTION  AUTHORITY",4f3db897-894d-5b06-bbb4-bf47a088b696,Huye,0,entry,"Business, Administration and Law",220000,258865,17/08/2026,04/01/2027,active,1100,1100
1412009000-312062010000000000-00366,ec84f38d-822f-5851-bf7c-30231f187910,Instructor In ICT,RP MUSANZE COLLEGE,989442ff-65f9-5a8f-b7be-b738789db8ba,Musanze,0,entry,"Business, Administration and Law",220000,254835,11/06/2026,27/11/2026,active,1341,1341
1412002000-312063000000000000-00325,6ca240de-c752-5e8c-882e-96971235f088,Assistant Lecturer in Smart Manufacturing,RP TUMBA COLLEGE,b4ac750b-a2c8-509c-a7d2-ba186be70088,Gasabo,0,entry,"Natural Sciences, Mathematics and Statistics",220000,259797,24/06/2026,01/01/2027,active,10,10
5700003001-203015000000000000-00080,942fe237-5efe-542e-8c63-35b8e115ca82,Director of Medical and Allied Health Sciences Services Unit,KARONGI District,850a9fe3-e6e6-5af6-a956-e50c7dad50c9,Karongi,3,mid,Health and Welfare (Health and Medical Sciences),475000,592401,25/06/2026,22/11/2026,active,5,5
5700000000-080101010103000000-00031,1403a2b6-4ea0-59cd-b63a-6ad1e4b10cd2,Statistician,KARONGI District,850a9fe3-e6e6-5af6-a956-e50c7dad50c9,Karongi,0,entry,"Business, Administration and Law",220000,288293,25/09/2026,16/01/2027,active,867,867
1802000000-091910000000000000-00010,3f76a9b3-ce7d-5413-880e-b2cd8aebbdf0,Public Relations  and Communication Officer,RWANDA TRANSPORT DEVELOPMENT AGENCY,acb46cb6-5ce1-5add-a2e8-684046beb7a0,Musanze,3,mid,"Social Sciences, Journalism and Information",475000,561302,22/08/2026,24/11/2026,active,93,93
4000003001-020000001100000000-00127,8d5d1b32-ffd4-5969-8dfc-5a2104bdf178,Cashier A2,NGOMA DISTRICT,2cba1cd1-01b2-585b-a41f-40719659af36,Ngoma,0,entry,"Business, Administration and Law",220000,286456,22/09/2026,08/01/2027,active,1941,1941
5600003001-201011030000000000-00024,4c56b28a-4f31-5e2a-abc5-112dd6cd0138,Accountant,RUBAVU DISTRICT,2e4a68ad-17b3-52cb-8477-bdcc3192a60e,Rubavu,0,entry,"Business, Administration and Law",220000,290775,20/08/2026,22/01/2027,active,3001,3001
4400003001-201011020000000000-00005,af15253c-fdeb-5268-9457-e781e7b5c87e,Director of Nursing and Midwifery Unit,KIREHE District,3fcb36e2-946d-5fa4-8f12-4daf1e0ee358,Bugesera,3,mid,Health and Welfare (Health and Medical Sciences),475000,636809,28/06/2026,24/12/2026,active,142,142
1419010000-301209000000000000-00065,c516e239-c42e-502d-98d2-6ff12b879356,Workshop assistant in Forest Resources Management,RP KITABI COLLEGE,40e23b58-8058-58f4-b61c-dfdb9c96bed7,Muhanga,0,entry,"Business, Administration and Law",220000,273352,05/09/2026,21/03/2027,active,61,61
4800003001-020000000200000000-00144,93e0e076-2ab2-51da-b358-3767700bf74e,Driver,NYAMAGABE DISTRICT,15da6450-8593-5e88-bf88-24a301190e36,Nyamagabe,0,entry,Education,220000,269578,10/09/2026,23/12/2026,active,1024,1024
2205000000-140203010300000000-00047,5a456449-6b7b-5c91-a071-36e63f04e709,Geophysics Officer,"Rwanda Mines,petroleum And Gas Board",1d3e4db1-00f0-5eca-8451-c3f669797a62,Nyamasheke,0,entry,"Natural Sciences, Mathematics and Statistics",220000,306140,15/09/2026,26/02/2027,active,194,194
1903000000-150103010000000000-00021,1cf7b7aa-ad6a-54c5-b613-878b4cb92e92,Senior System Administrator,RWANDA INFORMATION SOCIETY AUTHORITY,9bb84a42-8cd4-5d59-80cf-5b9583db52fa,Nyamasheke,3,mid,"Natural Sciences, Mathematics and Statistics",475000,569676,08/07/2026,05/12/2026,active,512,512
1419000000-301204000000000000-00041,3048835f-b7f5-52a9-aeea-1c36e7dd7418,Director of Strategic Planning Unit,RWANDA POLYTECHNIC,c1319b37-62b6-545f-be11-1787b59014b8,Rubavu,3,mid,"Business, Administration and Law",475000,555361,10/06/2026,22/09/2026,active,219,219
1600000000-111110111110000000-00035,016ca100-4d4f-5f85-83fb-0db8aa2dda13,Nutrition Specialist,Ministry of Health,569d7a80-d68b-525d-b2c7-e6a8c7d11404,Rubavu,3,mid,Health and Welfare (Health and Medical Sciences),475000,594791,11/07/2026,10/01/2027,active,54,54
6400000000-308811010500000000-00046,14b9ac6e-0a5c-51ad-9152-edc148b544f0,Employment Promotion Officer,RULINDO DISTRICT,32c88a44-7bc5-50d7-8d85-9b6ba845ba1d,Nyagatare,0,entry,"Business, Administration and Law",220000,254002,13/10/2026,03/02/2027,active,735,735
2305001002-090000000000000000-00090,945d7256-91b7-56b6-98a5-60577ea72bd0,Coordinator of RUDP,LOCAL ADMINISTRATIVE INTITIES DEVELOPMENT AGENCY,a2a8c6ff-df00-56c7-8b9e-753b82c3e093,Burera,10,executive,"Services, Tourism and Hospitality",650000,793800,14/09/2026,16/03/2027,active,40,40
1802000000-901601040000000000-00149,55c331d5-1bd6-57b6-bca1-0cf19492276b,Gender Specialist,RWANDA TRANSPORT DEVELOPMENT AGENCY,acb46cb6-5ce1-5add-a2e8-684046beb7a0,Gakenke,3,mid,"Natural Sciences, Mathematics and Statistics",475000,578643,11/10/2026,09/02/2027,active,79,79
2601000000-660130000000000000-00003,e832c72d-e2e5-5d13-b7e7-d5c761e540d6,Women Mobilization Officer,NATIONAL WOMEN COUNCIL,e405f749-cbee-58bd-b1ac-ffa14b853a20,Muhanga,0,entry,Information and Communication Technologies (ICTs),220000,302822,06/07/2026,01/02/2027,active,413,413
2500000000-101901000000000000-00082,046cc59b-7067-53f7-b9f3-093f2f4a13b4,"Early Warning, Risk data and information systems specialist",Ministry in charge of Emergency Management,89ef17e7-ce34-5e50-93b4-b34fe9fb998c,Rwamagana,3,mid,"Business, Administration and Law",475000,614016,18/09/2026,17/12/2026,active,313,313
7000000000-801202010105000000-00374,22de0519-10b8-5541-b2a9-09297e70b128,Territorial Administration and Decentralized Governance Officer,CITY OF KIGALI,b483bb3a-2b51-5e1c-9ff4-3e206ca73582,Rubavu,0,entry,"Business, Administration and Law",220000,297742,05/07/2026,14/10/2026,active,38,38
6600003001-020000001900000000-00026,54f8ae75-fac6-507e-9708-2057d865acd4,Internal Auditor,RUHANGO DISTRICT,47f78d9e-5fd5-57bf-aa7f-abb47fe487df,Kicukiro,0,entry,"Business, Administration and Law",220000,271255,13/08/2026,10/02/2027,active,176,176
0500000000-040101010200000000-00074,12e60f6a-1158-5a32-a09b-b3cd76836378,ICT  Officer,SUPREME COURT,40e78a6b-70e0-5d55-ad1a-5599829b2f0d,Muhanga,0,entry,"Natural Sciences, Mathematics and Statistics",220000,255329,18/09/2026,28/01/2027,active,1007,1007
6100003001-227404000000000000-00002,ba91100e-a208-5269-bc57-cba3d1a903ca,Continuous Quality Improvement Officer,BURERA DISTRICT,c4128617-4671-5d0c-90db-21350d0dfb04,Burera,0,entry,"Business, Administration and Law",220000,294969,24/09/2026,27/03/2027,active,22,22
1421000000-090208010000000000-00024,e758b93c-284d-562a-bb4b-e39331642fcf,Standards and Guidelines for Quality Infrastructure   Engineer,NATIONAL EXAMINATION AND SCHOOL INSPECTION AUTHORITY,ca479cac-13b3-5d61-a3bc-a9f9bf3f2e39,Nyamagabe,0,entry,"Engineering, Manufacturing and Construction",220000,292024,22/09/2026,12/01/2027,active,146,146
4200003001-222101000000000000-00021,ec9cba5f-0db1-5d77-81c8-79186d384e7b,Social Workers A2/A1,GATSIBO DISTRICT,a49ac88d-1113-5354-91a2-c95d6f247102,Nyamagabe,0,entry,Health and Welfare (Health and Medical Sciences),220000,277748,19/06/2026,19/10/2026,active,563,563
1419010000-301102000000000000-00029,3e3a2c38-ac79-50d5-a242-671a94ec8ea2,Estates Manager,RP KITABI COLLEGE,40e23b58-8058-58f4-b61c-dfdb9c96bed7,Kayonza,0,entry,"Engineering, Manufacturing and Construction",220000,285549,15/10/2026,05/02/2027,active,872,872
4500003001-020000000100000000-00051,d3906c49-19ea-577c-9dfe-97582da76a2b,Driver,NYAGATARE DISTRICT,ea57dad2-1ad5-5d85-b3e2-419c988cf789,Nyagatare,0,entry,Education,220000,290873,12/09/2026,25/02/2027,active,41,41
5900000000-080000000000000000-00130,8dd74801-e1b0-571e-9e1d-025aead3b695,Village Knowledge Hub Agent (Under Contract),NYAMASHEKE DISTRICT,df7f48ff-d7a0-5e14-bcac-b031721cb870,Nyamasheke,0,entry,"Natural Sciences, Mathematics and Statistics",220000,275997,13/06/2026,24/11/2026,active,224,224
0901001004-110500000000000000-00007,8f41e12f-5135-5858-84a7-5e3ec3444c01,Financial  Management Specialist,RWANDA AGRICULTURE AND ANIMAL RESOURCES DEVELOPEMENT BOARD,99fc44bf-3a5d-5cf2-bb48-d634310e7de8,Nyamasheke,5,senior,"Business, Administration and Law",525000,719572,16/10/2026,16/01/2027,active,23,23
5000003001-204010000000000000-00003,853cfa1f-346f-5d31-a268-d1077651980a,ICT Officer,MUHANGA DISTRICT,36d554e4-6fbb-53ca-aae7-53010481a5f7,Muhanga,0,entry,"Business, Administration and Law",220000,255214,21/07/2026,26/02/2027,active,1443,1443
1419006000-301102070000000000-00022,477f46f2-5939-5acb-b2ba-39f1d892fe8e,Instructor in Hospitality Management,RP KARONGI COLLEGE,6861b2b1-11ae-5a1d-a69c-5e01e97eefd0,Karongi,2,mid,"Services, Tourism and Hospitality",450000,607134,29/06/2026,11/01/2027,active,34,34
0901001015-110201000000000000-00046,bbe588e3-60ec-5e2f-acdb-1e0a286e1e6f,Call Center Officer,RWANDA AGRICULTURE AND ANIMAL RESOURCES DEVELOPEMENT BOARD,99fc44bf-3a5d-5cf2-bb48-d634310e7de8,Rusizi,3,mid,"Business, Administration and Law",475000,570462,20/08/2026,05/03/2027,active,167,167
5800003001-201012000000000000-00027,a5332159-255b-56e1-bdad-f83cb38c76e7,"Nurse, Head of Department/Matron A0",NGORORERO DISTRICT,03e7a4e2-5073-53f7-bef5-778974608c8a,Nyamagabe,0,entry,Health and Welfare (Health and Medical Sciences),220000,283826,24/07/2026,24/02/2027,active,78,78
2500000000-101900000000000000-00076,07bc0031-04b3-58be-a910-c77d37395ccb,GIS and Mapping Specialist,Ministry in charge of Emergency Management,89ef17e7-ce34-5e50-93b4-b34fe9fb998c,Burera,3,mid,"Natural Sciences, Mathematics and Statistics",475000,653740,29/10/2026,29/03/2027,active,2,2
7000000000-801203130000000000-00091,6616742b-433c-5b7c-bf9c-26c4853464c5,Social Safeguards Specialist,CITY OF KIGALI,b483bb3a-2b51-5e1c-9ff4-3e206ca73582,Musanze,5,senior,"Business, Administration and Law",525000,726327,15/10/2026,22/01/2027,active,425,425
7000000000-801201010000000000-00353,b0eb549e-d4c6-53d7-95d6-614fb3d70030,Public Relations and Communication Officer,CITY OF KIGALI,b483bb3a-2b51-5e1c-9ff4-3e206ca73582,Musanze,0,entry,Information and Communication Technologies (ICTs),220000,271541,26/09/2026,28/02/2027,active,150,150
1603000000-201801000000000000-00001,a47ea421-4f2a-556a-b3d5-8db1a938e51d,Human Resources Officer,NEURO PSYCHIATRIC TEACHING HOSPITAL CARAES NDERA,cbdc2732-c253-5564-aa7f-c104f4d6409f,Nyamasheke,0,entry,"Business, Administration and Law",220000,261784,31/07/2026,13/11/2026,active,111,111
6900003001-201604010000000000-00026,99e0fee0-0cea-5591-94a0-faf6b6eb9d17,Revenue Officer,GASABO DISTRICT,0eb370b0-03ce-502d-98e9-68c3995e2b34,Gasabo,0,entry,"Business, Administration and Law",220000,302658,29/06/2026,12/10/2026,active,2033,2033
1602000000-201303000000000000-00117,1fa92857-fc96-5fba-a80e-909c73f014d0,Principle cashier,CENTRAL UNIVERSITY HOSPITAL OF BUTARE,1cc90452-1205-5182-b85d-1874e4c0b5aa,Karongi,0,entry,"Business, Administration and Law",220000,294019,06/06/2026,14/12/2026,active,21,21
5900000000-801105010200000000-00031,df3a6ef6-038c-57d9-b9e2-f31c18f6ed91,Statistician,NYAMASHEKE DISTRICT,df7f48ff-d7a0-5e14-bcac-b031721cb870,Nyamasheke,0,entry,"Business, Administration and Law",220000,307606,05/07/2026,31/12/2026,active,489,489
0901000000-140201000000000000-00061,0bd84349-3b07-578e-b2dd-2a475cc2833d,Accountant,RWANDA AGRICULTURE AND ANIMAL RESOURCES DEVELOPEMENT BOARD,99fc44bf-3a5d-5cf2-bb48-d634310e7de8,Muhanga,3,mid,"Business, Administration and Law",475000,629765,26/06/2026,02/10/2026,active,888,888
4400000000-803700000000000000-00018,a1e48a73-ff83-5259-bdce-afd0c601c5f0,Executive Secretary,KIREHE District,3fcb36e2-946d-5fa4-8f12-4daf1e0ee358,Bugesera,3,mid,"Natural Sciences, Mathematics and Statistics",475000,654499,10/08/2026,23/11/2026,active,728,728
2305001003-901306000000000000-00002,55225d7b-bd27-5a29-949d-1dc481966043,Senior Civil Engineer,LOCAL ADMINISTRATIVE INTITIES DEVELOPMENT AGENCY,a2a8c6ff-df00-56c7-8b9e-753b82c3e093,Huye,5,senior,"Engineering, Manufacturing and Construction",525000,630437,14/10/2026,15/02/2027,active,412,412
1804000000-090101030000000000-00018,92deb209-8c32-5c51-a42e-d8ac79d4cb36,Affordable Housing Electrical Senior Engineer,RWANDA HOUSING AUTHORITY,56d2f24d-b50d-5a99-94e4-02af46b5acaf,Burera,3,mid,"Engineering, Manufacturing and Construction",475000,629822,01/07/2026,29/01/2027,active,54,54
7000000000-801208200000000000-00107,e4cabbb4-1c6d-5401-8de2-09aeba0ce5bd,Director of Public Transport Management,CITY OF KIGALI,b483bb3a-2b51-5e1c-9ff4-3e206ca73582,Ngoma,5,senior,"Business, Administration and Law",525000,642493,20/10/2026,16/06/2027,active,111,111
4900003001-220300000000000000-00011,7b77f29a-cd36-58cc-a7f4-689d9f5bcc67,Accountant,GISAGARA DISTRICT,94bd2c31-0100-5f48-baa1-b15508b12050,Nyagatare,0,entry,"Business, Administration and Law",220000,265728,13/06/2026,12/09/2026,active,756,756
4900003001-218000000000000000-00005,6ce0b213-36a2-5d0d-8f9b-5822b7b7cef0,Internal Auditor,GISAGARA DISTRICT,94bd2c31-0100-5f48-baa1-b15508b12050,Burera,0,entry,"Business, Administration and Law",220000,281955,13/10/2026,18/02/2027,active,31,31
5700003001-020000000900000000-00067,30010bae-9edc-564a-85fd-5791b610d29b,Accountant A1,KARONGI District,850a9fe3-e6e6-5af6-a956-e50c7dad50c9,Karongi,0,entry,"Business, Administration and Law",220000,302213,24/08/2026,15/04/2027,active,1308,1308
1419010000-301000000000000000-00040,b43c4c16-9507-51fb-b754-49cf415d53dc,Internal Auditor,RP KITABI COLLEGE,40e23b58-8058-58f4-b61c-dfdb9c96bed7,Nyamagabe,0,entry,"Business, Administration and Law",220000,260697,08/09/2026,24/04/2027,active,690,690
1600000000-111011130101000000-00051,7f2a1fac-74fe-5dda-bf01-7322d7a57b2c,Private Health Facilities Development Specialist,Ministry of Health,569d7a80-d68b-525d-b2c7-e6a8c7d11404,Nyarugenge,3,mid,"Business, Administration and Law",475000,564563,15/08/2026,15/01/2027,active,240,240
1605001006-090000000000000000-00408,230811cb-3626-5d0b-b18b-39d84cab161b,Financial Compliance & Capacity Building Specialist,RWANDA BIO MEDICAL CENTER,fff3e870-09bd-55ae-a770-c558a61b9c12,Gasabo,5,senior,"Business, Administration and Law",525000,654648,23/08/2026,27/02/2027,active,620,620
6900003002-201102000000000000-00106,6963cd16-fb0c-5959-b960-e587f66839ce,Nurse Specialist in Pediatrics,GASABO DISTRICT,0eb370b0-03ce-502d-98e9-68c3995e2b34,Gasabo,0,entry,Education,220000,260451,31/10/2026,20/03/2027,active,1,1
1606000000-999990110311100000-00096,808ccb3d-07e8-5f34-87c4-b96ab557978a,Cosmetics Testing Officer,RWANDA FOOD AND DRUGS AUTHORITY,0ca9c11c-8d09-5737-9fd5-50da983015af,Nyamagabe,0,entry,"Natural Sciences, Mathematics and Statistics",220000,297907,26/10/2026,27/03/2027,active,555,555
6300000000-801305000000000000-00058,7be5a93a-904e-521f-a5dc-07fbced1d0de,Coordinator of Memorial Sites,MUSANZE DISTRICT,429cf6c7-e319-5db8-b32d-d396baa1f819,Musanze,1,entry,"Business, Administration and Law",425000,586871,28/10/2026,08/05/2027,active,303,303
0901001004-110206000000000000-00003,73f48221-bd59-5631-b16f-26d489afba9c,Animal Resources Insurance Specialist,RWANDA AGRICULTURE AND ANIMAL RESOURCES DEVELOPEMENT BOARD,99fc44bf-3a5d-5cf2-bb48-d634310e7de8,Ngoma,5,senior,"Business, Administration and Law",525000,632760,11/10/2026,31/05/2027,active,414,414
1417000000-301101090104000000-01057,83515748-2c14-51aa-bf3a-8efd1b8da371,Senior Accountant   Rukara Campus- Rukara Campus,UNIVERSITY OF RWANDA,b48f5840-b3ad-581e-977f-655b68b83732,Kicukiro,1,entry,"Business, Administration and Law",425000,500977,18/06/2026,01/12/2026,active,1036,1036
1000001000-101200000000000000-00017,c439b108-8d03-5fc5-a9c7-37dfeca38be7,Senior Civil Engineer,Ministry of Trade and Industry,681ca0ab-1c89-5862-994f-4cb0a2998110,Ngoma,3,mid,"Services, Tourism and Hospitality",475000,568451,11/08/2026,25/11/2026,active,32,32
