original_candidate_id,candidate_id,jobs_viewed,jobs_saved,applications_submitted,searches_performed,jobs_ignored
0AB1950DD0A04683E860C352E930A05604E44C2B8F818804BEA2C54FA03087E8,56639c87-e042-5cb0-8091-01455292e5c0,10,2,10,5,2
0A0AD24939341EE4DB3A29D59FCCE7E35046B53948C68C8E926AE5EECB350EF1,90157705-35cf-5605-a4f4-f46b8831311f,1,0,1,5,1
0957DA629168F5CFC437D6251733F6062BE2889FC0BF542C82D65F5A0A80C626,a5c730a1-cddb-52e6-be44-8c238c612911,15,7,15,3,1
0980AA35D849C684FE25CC8F56B11400091777731E8734258C176A115D641B05,9c34c87e-3a1c-5105-ac70-0ce8452ad50e,3,2,3,2,0
0A56457685B9513F7DD6DF01CDF125D156E082BE10D8F01835572F0BE83BD195,699216c8-9b71-5bb1-9a86-cba4020f22ef,2,0,2,0,0
0B3BBECA9FD51824E98403AC5DF631F894D48078A79524F8F9B70E818DF1944D,854a3649-50ba-567d-b41e-c27e3989fdc4,3,2,3,1,1
0B58109201005195FB08ACD01EFB30288CFE35B4C5C08F1212574FCA86536F21,3c16efc0-bb5b-507d-9bf5-962db74d32fb,1,1,1,2,1
0ABE8B788EC0EB8F58E77396266CC47CF0BF4DB3D7CC4386A855E590A41899DF,36497659-34cc-5b99-a446-e33b1b207ead,1,0,1,4,2
0AE47864649B552D421FCC2C494B692888E30BCD63EACB6E9A92C8072DC45209,2cea02c1-1cde-5b24-bb3b-519ec0d65865,19,9,19,4,2
0A7F966ED105695136C51D77D74A468773F71EF6C70F2A629879EBE8F82C26C3,05b3f2a8-e281-5327-aafd-7bb1a716d012,1,0,1,1,0
0A9913E15A77DFCA392E32B1417E5B02783671E4719546240F8621B6871B3D31,488d3705-1af8-5360-abb8-195e9c97ce36,1,0,1,0,1
0C0E9E39868FBDF1E2836AEA58952BAE9C208B11D695FC6297BE0F3FA710FA3D,6939d901-b1d7-57ad-9e26-144488f449cd,3,1,3,3,1
0C15A58581EAF9D6ABE5DA8DCD804425E76FD10676B75F5B2CE4F11A080DAB5B,cd59ed74-4849-5af7-bd0d-b4eac5fc67ea,3,0,3,2,2
0C152821C665FE0D0D3A701FDAC6014BFB97E85B8BCCEA65136EBCDF257C9A0B,c10f1aeb-b56f-54a2-bcf6-0da48383d6c2,2,0,2,4,1
0BD347EB8DBFE327B9AE1D9B791A597DC9568DE2AE461ABF82048C37E6E35173,cb1636c2-264d-5ea0-8892-ed4ab8faff86,17,5,17,3,0
0C75154FD6017B143D3A3F79290D7062506595EB077507D334F4CD2CF65190B1,e6115ad7-0664-58f1-a7ce-b33a5d4865e9,2,1,2,3,2
0C11EF0D67191F53A92359BC35DDFF3132C77239B6FCCBA741694F1E400917DC,ea8d8856-aa04-58b3-b6f6-b027ca9ef761,2,2,2,4,3
0D6A16BBA1E4A452C67717600ECF424A7AD6DBD5BE14F1231310891C793FF12C,8220223e-ea8b-556b-81ec-81c0f713f9eb,1,0,1,3,1
0C78A8F6C78331F48433E1B8C2BD4E3C6CB4F7E57EA47204E96BDCDAB94A0A77,22ce2c6a-1113-5943-899d-533fe0fdc8ec,1,0,1,4,3
0D46F202B4FA277375DD40129C13B95A90C0BDB8A555AC6E15BA8A9ACC75FEEF,db659e3f-cb3b-5086-9833-275a44afb54a,1,1,1,3,2
0DE87D7C0CE750A6762847F63C0E105FF18298BB8871FDE04E5D9697E0D4B25C,06ec1359-a9df-566a-85f4-90eb03710841,1,0,1,4,2
0E8D8EE74A42968BB08609D3ABADC84DA5B40F8BBDB636571C17E136F21D6212,17aaae6a-e7fb-5181-bb06-dcb28adfed88,1,1,1,3,3
0F10C6B569CE83176338BFD568CF39B206A83348816DF0B379A2D689BF86D2B5,0c3f75e8-4200-51cc-b98e-ced5b735ff6a,6,3,6,0,3
0E52190AC1A65ECA59C7586A4A90E8C53C88BF5237A6FD9711CD6D6A3BDD2B67,67699c96-b2a5-5341-bd91-ae711104630c,1,0,1,0,0
0DA3D380F04AF123FD230A92F3DDC9D159B55FF41B17A4C02309177B34FDA447,a530fac1-cb9d-5ed4-a5a6-12d9c723378f,3,1,3,0,3
0DD882E032FCE8FB337233B3E910947065F70CE476FE60647110DFCF4F03F29C,afec672e-1232-5a31-a3a3-4e48a9642f08,2,1,2,4,2
0ED28DFFC192236165E737E6FB4DA7DEF7EE58631D839366679495913AE5F8FD,cf3b5ecb-02c2-5c38-804c-bab717226e02,1,0,1,3,0
0E21A3A5EE1B4418DA055C9CB6C926BB6A6C1E344AAB81854699DFA22771326A,4f2850a0-7d97-5620-b75e-b150ba2daef4,7,3,7,0,2
0F063AB8E4CB379ECA46BC5C2175026F2DFB78F4EC7F5CC8E592DBC6DEB38898,e5e55489-2c6d-5d9f-bbe8-ca1fc8b7e34e,5,2,5,3,2
0F7D49F45FB062A3CB1E8B68AFF4186C880793A67625BC57027345020F62FE43,d0ad2f4a-d57e-54b6-9c2b-18e1df498648,1,1,1,3,3
10CC0DB14E09346E3E4CBB392A16B098BABA053497A99C9DFCB6C831C8E17BC9,e0755e04-bb74-5ba8-9442-a3c889c66273,2,1,2,1,3
111B84FFE5FA6DCFD9B2416C1036136002AD1C7C944915CB60F61F49443C6637,1ccad8fb-4ad2-5a4b-9ca4-03b8a85b7f00,1,0,1,2,0
1100D41E34B69B37092139BE497FCD2766C3201C13788ACC53C89FAE51AE08C3,088c03fe-aca0-5bd2-8e22-4f201bc39d30,1,1,1,0,1
11A2AC63BFBB6417DA50DC9CB8323585CD9A11BA6CF4982B17FA2A8E4632DCA7,9b74b327-f1e2-51e8-a1d3-d45fe32b23a7,18,9,18,3,0
11338FDEF18324DD4E9503E77242925A27B9401DD0E1250C2D4C7164402CC57F,5d149b87-4454-5b94-8666-63a1c16f68c1,1,0,1,5,1
11D500303A1C358012EB218A07999E22B31E0A7BEB9EC71D32FDCABB540A63EC,e89ae6b1-1d26-5d65-858b-9716a13d0b39,10,4,10,1,1
0F5BC632825D1AD51BD11223587B8B2198E57D2FDC0F29CEEB78ED7267E56AAF,19713e44-ca09-55fe-918d-afb720574d2a,5,1,5,3,3
123FFAAF61366D466C44CA2A8DCA23B1BDF28D56999EC52B4AA3144436E783D1,2031ef69-5632-5cde-89ae-e7d604433e6f,1,0,1,1,0
111D94A113019130FBCEF232388DCF9229DB8CDB741E51665329410D3F4194C8,5734f550-302a-50e5-820f-eed502ef5ba1,4,3,4,2,1
0FE28510BC85E23B64C684DFEB7A06C78B9D383D60F46615EDDC72D1FCBAAD2A,f9f25289-1edb-5efe-8586-79f181e0c16e,1,0,1,1,1
116537C58FAD638D4DE9E8664B9379B5338343ACD1D8A2DB4C245A3EDCC75B60,3a0483ed-c766-52d1-9a6e-26a4260edaa8,5,2,5,5,2
1285E158D77EE3E206ECAE18A79F1C9FE69E229CD075CD7F6FCBBBFFF3D8B699,0fca7db0-bc0b-5b0a-9f4b-53dbf1006f26,2,0,2,3,1
120286D2A4C8F781E6D7678825C94D61DDB4564281108B4328346E3CCE808B3F,5f8ea81a-f939-57ce-a11a-e61dcf545384,2,0,2,0,1
106EFC8B1F4B22A375CBA727A195C1F0CB89EDF29DD3555957779D4EE7CD47B6,e235deda-b2ef-5433-b7d3-9697ed2a6ec1,2,0,2,1,1
124DB9965F8BF56152384A854D46561C12AA444BBE856DAA2A0EB3ED04A86428,3225651e-8997-50eb-9fd8-0ae41d601e89,5,2,5,4,2
122680647F9AF3995300F3A316876FED18474F4EC7A3383585364CF4655AADB5,7accb75c-a937-5d1f-b496-236b6d2522bc,1,1,1,1,0
124D550D9CC95732E278A5A4853078283DA5689DE84915937555AAEF8B4DB7C3,d8678211-8c02-5407-b255-a69975252fa9,1,1,1,0,2
1378F864EBD979A406428848270B6994A6F741EC144A8F4ACF4A9561947317C0,c44922dd-f2d9-5568-92c8-50928093378b,14,5,14,1,0
12AFB7C776A97A4A8AEE8348FB8164F5721BC6FEE65DB4D9A2FFF5B8094192C1,25f36d47-aaaa-5b55-b0b0-47bb9f25a7c4,13,8,13,1,2
12B525AEDF4DC3CB85F154016989611FBB40FA91F96CD2B21D1987324C8ABEC3,dc14d873-2ebb-5159-b9fa-a5c07909c04c,1,1,1,1,3
13133EDEA075412F3F1567CB35BE8DB48BAB43BD76E048987BFAB4E76ACC892E,a1fbe1ad-00c5-5329-86b4-58d7f843828a,3,0,3,0,2
13A6903685678691D810360E823B783487B1436B3CA028D994BFBAB07E0FED18,f7f0bfba-0907-5925-b7f8-c351aa435655,26,10,26,2,2
13493932639581B4EB3C95F4814BDE487E416277E604F94F4FE0C73404393567,2a6ba3c7-3f5b-5048-b1c9-a0109beccf93,1,0,1,3,2
113768CF96F7135722091B52F2686EA2E62778BC6A0D5104ED34BD321C3F7575,46a06951-cad5-5bbc-8a74-bc128c97c458,1,0,1,1,3
13BA302F81E9D770BDE2FE90C2E16D80A3FD8E5939D278143F6DB5779CFECBE3,8c39590b-52c7-5c9c-beb0-e264e4454cff,3,1,3,5,2
1160F2C6010773C6396DC4D35CBACCF5DBA2EBFE13684B09338108B93D588D0C,77ee2db6-e126-59a6-834a-76138e2db103,1,0,1,4,3
13E0790ECEECC6D9DBADA291472046BD238B31CD02B2F040BCF7E33F0974133D,e6e99609-801c-5d05-9477-3cd79f7cdbaf,1,1,1,3,2
1393890C620DBE4347AD2EEFDD7C2D667BE4F433BFBE9044ED90D09881D4DF7D,7c6b3373-c58d-5580-845a-5721baf73f57,1,1,1,3,2
146F73D138EE179E424CF8EC24A1EDEFBB1BD7CCCDE0D8B56C51FDC402C783BD,a58eed46-7e07-5544-b9c9-4b027292e330,4,1,4,4,2
11E5F47F730F39C9015BE293F70D0DA6508E1D98E6AC0CF21B182DF425A5CCE7,0f0f1d3b-c0f7-5a41-9086-27e6ca6039ed,2,1,2,0,0
13FD67EEAA4597169B0D093AC8D36571C0583F8EFAF6E4EC548F8A71710C2539,eacde372-08a4-5940-b35c-d5d67dfd1fcd,1,1,1,0,2
140235E64B01AFF0F1127D4DE1DE38E05DC2FD932C3E94C812C82821EBD0992A,402ef68c-7cad-5c82-aa37-7b6b4cce7b0b,1,0,1,5,1
149E12BF6808985591C8AFF7F5CB57C81884DDA86B72174BA50F7538475C6E51,76135812-5ef9-5f3d-9f00-eb59a865badd,1,1,1,1,1
14F96F17E6D9AEBD19C89B2472B2EB36FDDA6DA9C01A602A4A692A813289690A,3f97c403-1577-5732-866a-32b4c3cc1797,7,4,7,0,0
14444ECE8398AE0013F47C3A3C584EEDD95240AF01C039D17CB2DA28E1D162E8,ca83a700-8378-5291-a5a2-067f5f651dcc,1,0,1,4,1
156579C5FCE55942F5FDF5834115EE6CB714C98EC7AAD782F4CEFA46D268A80A,c2213a3d-7c1f-5c23-80d3-680fde5e2a5f,19,12,19,0,3
12B8D226774C9F42210A3DA572721389173C4E622C28E398610AD5AA95386DDF,bb51259f-4a92-55c1-b535-9498c9ff5d15,12,7,12,3,3
15A2CB27BEEBB3661317CC9360E263BE116C5C546B12DA595ADE2EA45DD0E94D,a468a460-8d3a-51c5-bfb7-3305ef910b6b,1,0,1,3,3
14A73BBD7762EA4B499D237B573F4D01A2D5A0D38FAE247FD02829F536462662,2c31ec74-7c72-5463-a90c-c97409095a56,6,1,6,0,3
14C4135F8874FC2043DDC513FAE7B956978849F049A39A0ACE49435AD79B692F,36ee8ddf-eb27-524f-8967-ec2373ea6fd3,2,1,2,2,0
1501330BD1BBADDCAE84DE5D6E53106A9787CCB3F13E783ED415E327ECCD178D,0975ab6e-a093-5c1f-96b1-6b46ac195d02,3,1,3,1,3
152AEB2E02CD8D04D3BE50827DB87D6315B4551F287EB12817963938C8271030,d8e95c62-d58c-5c71-9c9f-52387eacb539,1,1,1,3,0
16330C0A130EB2E93FF1B3CD7031B5EBEB5D3EB7665B71C69E3E6BB742E37831,b6edb247-d0a1-515c-a69c-a99e6c1247ac,4,1,4,5,2
1396B7D74931D244CC74F0ABBADB4CF8CD5B44891B7DC646ECB38E92067F9312,3e50a779-1690-5a1a-be60-eed6af5afbea,1,0,1,0,1
169D7B7BF2EF6557F97E1F8253D331607F999920C8C4E1FC3080EB7F6E9BD613,a3f8d286-b03e-5d61-91b1-f84e80ab5af5,5,2,5,5,1
15C59562F678FE0ECAF09315860E3A7AA46CAAA4DDDF117C3C420C52A9BAF20C,ba82e4c5-e3cf-540e-bc2a-97d54b356c4d,4,3,4,5,3
13F1247DF7F93046DA4379BA98893B23382A87EE600404A40BFC61F72A644655,a079e710-6b1e-5d34-9963-2ab2f9aca569,3,1,3,2,0
15F532E8FEDA52D0E5EADE388A837E346E5DB890C3A441A5B9D8CA070C061C87,b3b3d90e-6dbf-533a-8f07-5bee6e737bdb,1,0,1,2,2
173153ADD221AF940DD2AD2F4D7CEEF1BD55E136E500883E96ADDE8E33FE03B1,a62c612a-90f7-516e-83bb-6802b455e5d0,5,1,5,0,0
147DA041FD6428E37B211DA2903211D217DE274F5A757D652C5E0113295724BD,d687cdae-2fdb-5ad8-8cfc-211a4ecc5dcd,2,0,2,4,0
164DB904DBAC69D40219505D6A35A51980AB8369EDC4B286AFC5860D837BAB50,ba52a60e-f14b-51eb-8e6b-5555e3b18964,4,0,4,5,2
176BC275C64A8C90BF591D1DFBE9677B1BB3A25EB53BEAC18E0032999978A4F5,0cf13b74-190c-54a4-8148-5d11b846a55d,3,2,3,1,1
17EF8F916090EE02CDE274A0416B7CDFC1CAB32127EA94702025C259F5461851,e6e07908-1b5b-558c-b84f-31a57eec681a,3,3,3,2,0
152B7002D0097C3B160B430FC418533DCEA47A09069C499A85431551B33AB3FF,7df08376-53a6-5434-94e5-a9cc703b16de,7,2,7,2,3
177651BE4C38F38034C4C89C3E4FAE7C4AAA05B18E05D0E69E0CF2AE2F8C3725,614c374f-b7dc-51cc-8b0c-50ea744fd138,4,0,4,5,0
17BE3A04D89DF2642D4FBF25B69C4C62363DA6E5EB260368F416D3352B52922E,fd2ddb7f-42c2-540b-8b5f-7c7019f068d8,1,1,1,3,2
1810D8D6EF387F720BB29CB09887073D46D6E077EF2F6EA8A87F679D382D8A4A,0498743c-8a7e-5bb2-b4fc-0584add2ef3c,1,0,1,4,3
180E90A38E4858EF1A6E55A7EA0469DB71B4A920BED9C104EAE626DD1248B09A,c1db98bb-b812-5531-9325-32fe0b933654,1,0,1,2,3
183AF226A6B38E443156809F5A496F7DA35BB8263020939ADB009DDDBC9BE435,6e0055c6-3400-5952-b998-976090baf876,2,1,2,3,3
187C672A5EA911B57055A3057B1C76C7F7E61CAB8D256ECF579D1B769C113A09,1dfe67b2-23c2-57ab-9137-8224b2e50fb7,6,3,6,2,3
18FBB9079281111B760C20C096263631E58AB6367DA524BC844539BF4706B015,7986afd2-b9e1-5266-a4a4-4251c1f841b7,18,7,18,3,0
174654D6B27F4DA5D8E23880B83215CE29741BD9517E65620F5F24421D87EFDF,619ab881-f1fe-5009-aa50-6cb68ed30266,13,4,13,4,2
1911DDE692C2AE96106E6FBCF61A994B4979141C1B2AABFEF1F7F7C4E198E119,5e796d7e-bbf7-52c5-b4fb-3790a9fd89aa,2,0,2,1,0
1A7C101C751031EE1D8E8089435B7DB60AABC3F561EAC8DB6122C289E1381CEB,4bbe38f1-fcef-5099-ad19-43be94d93833,1,0,1,1,0
1952893D21158E77FC889A35A67D3B355FDD172744AC0168A83C54CF5871804E,c199d9c9-d3a8-5506-9227-38635a7b59d3,1,0,1,0,2
1B18035F9CEA7C6213419DA24342B84E2373B61BFFE712D19493B783D13B0E9A,68161acf-75e5-53ff-ae29-086de4d6ec48,1,1,1,4,3
1883E00D1405431382924B8E59BD9DB8B2A9A6E824316B16C14198113FD7E572,020de831-1f11-55e4-b745-1c9debfcd06e,2,1,2,0,3
1B6D045E46AAEBB7AD8468BB28AF7BFBB8AF3EF439256350CBD5E55C3D6CE183,5e0bf6eb-0652-5ed3-83b4-3615c947e782,4,2,4,4,0
18FA2BB3B317E8A70A4FB8E4109C1A5173ED65243DC4144564BD1C9044F07FF7,544ade36-aefc-5ea4-acfb-c3b620f6b6a5,5,3,5,4,3
1AB1D8B1228FCA02D9A870B54D939F8E400F1AC3176AC0851CAE7FB3F6A747E5,0d51ef7f-a740-5f77-923c-c790ec263a3b,8,0,8,3,0
1AD06C1C80A501937AE75F43E52400AED281B233D97802453AA952D939ADA641,7652acb8-348a-57ed-a43d-9d84f8ca27e8,1,0,1,4,1
1C063C84E1885DC88905A0D6DA6D6FA6166E84FE6ABC09CB34DE6E5CEE457629,5a9bc987-1eb0-5a90-a8f2-6ccde3b5967e,3,1,3,5,2
1B6703EC9748E9933AAB4708BBC0EC0E17848578EB41F10E58650FE74BC3419C,2eace1ca-608a-5599-9680-2ec533df01f6,5,2,5,2,1
1B4F8F7807D9F07BAE9AE4293E5DED38E00141A9BA18B3E3333406C9DCC90B27,7e28dbec-6181-58b0-aa8e-7ba56c10dc01,10,6,10,1,1
1CAB20205E9B920B3C6D5FCD0056D955A4595DCBA640EEE2526B48C9C661E297,da2b431c-1af9-5ddb-8c11-dbe911a63b7b,1,0,1,0,3
1B798A3720D2324A5EA01406CE7045C08176FE6CD7C23DEF2DCC7E7E8F3C070F,fc168e4b-2a9c-5577-8de7-1ab5dca9d23f,3,2,3,0,2
